회사명,종목코드,업종,업종2,업종PER,PER,PBR
아래스,050320,기계장비 및 관련 물품 도매업,전자장비와기기,65.66,14.56,5.24
유신,054930,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설,7.01,N/A,N/A
프럼파스트,035200,플라스틱제품 제조업,건축제품,-47.58,31.64,1.10
한국컴퓨터,054040,전자부품 제조업,디스플레이장비및부품,86.49,N/A,N/A
대동스틸,048470,1차 철강 제조업,철강,41.60,N/A,N/A
레드로버,060300,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
링네트,042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,15.40,1.21
제이웨이,058420,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
큐로컴,040350,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,N/A,N/A
팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,자동차부품,46.67,N/A,N/A
한빛소프트,047080,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,13.00,4.29
일진디스플,020760,반도체 제조업,디스플레이패널,-3.72,N/A,N/A
NHN한국사이버결제,060250,기타 정보 서비스업,IT서비스,24.96,53.17,8.35
금강철강,053260,1차 철강 제조업,철강,41.60,16.04,0.51
룽투코리아,060240,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,N/A,N/A
포스링크,056730,기타 전문 도매업,전문소매,-15.23,N/A,N/A
동아화성,041930,고무제품 제조업,자동차부품,46.67,57.74,1.91
비츠로시스,054220,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",IT서비스,24.96,3.19,185.31
오리엔탈정공,014940,일반 목적용 기계 제조업,조선,-22.00,6.29,2.54
필룩스,033180,전자부품 제조업,전기제품,206.26,N/A,N/A
크로바하이텍,043590,반도체 제조업,전기제품,206.26,N/A,N/A
리노공업,058470,전자부품 제조업,반도체와반도체장비,20.53,38.37,7.13
성우테크론,045300,전자부품 제조업,반도체와반도체장비,20.53,17.20,1.01
에스에프에이,056190,특수 목적용 기계 제조업,기계,-29.49,11.89,1.48
신화인터텍,056700,플라스틱제품 제조업,디스플레이장비및부품,86.49,53.33,1.04
엑사이엔씨,054940,실내건축 및 건축마무리 공사업,반도체와반도체장비,20.53,250.83,0.79
평화정공,043370,자동차 신품 부품 제조업,자동차부품,46.67,45.28,0.43
종근당바이오,063160,의약품 제조업,제약,99.58,36.83,2.32
APS홀딩스,054620,기타 금융업,디스플레이장비및부품,86.49,86.02,0.65
코위버,056360,통신 및 방송 장비 제조업,통신장비,-92.63,8.83,0.78
성호전자,043260,전자부품 제조업,전기제품,206.26,20.68,1.26
UCI,038340,일반 교습 학원,교육서비스,-19.84,N/A,N/A
YW,051390,상품 종합 도매업,판매업체,-13.71,22.93,0.46
