회사명,종목코드,업종,업종2,업종PER,PER,PBR
나우코스,257990,기타 화학제품 제조업,N/A,N/A,N/A,N/A
에이스캠퍼,322190,자동차 차체 및 트레일러 제조업,N/A,N/A,N/A,N/A
유안타제7호스팩,367460,금융 지원 서비스업,창업투자,20.78,N/A,N/A
루트락,253610,기타 전문 도매업,N/A,N/A,N/A,N/A
ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
대신밸런스제9호스팩,369370,금융 지원 서비스업,기타,N/A,N/A,N/A
석경에이티,357550,기초 화학물질 제조업,화학,85.75,N/A,N/A
지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,제약,99.58,N/A,N/A
프리시젼바이오,335810,의료용 기기 제조업,생명과학도구및서비스,38.27,N/A,N/A
알체라,347860,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
엔에이치스팩18호,365590,금융 지원 서비스업,창업투자,20.78,N/A,N/A
에프앤가이드,064850,기타 정보 서비스업,IT서비스,24.96,27.27,2.19
에이치엠씨제5호스팩,353060,금융 지원 서비스업,창업투자,20.78,N/A,N/A
티엘비,356860,전자부품 제조업,반도체와반도체장비,20.53,22.45,5.66
씨엔티드림,286000,기타 화학제품 제조업,N/A,N/A,N/A,N/A
인바이오,352940,"비료, 농약 및 살균, 살충제 제조업",화학,69.00,34.07,3.42
엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,N/A,N/A
DB금융스팩8호,367340,기타 금융업,창업투자,20.78,N/A,N/A
퀀타매트릭스,317690,의료용 기기 제조업,생명과학도구및서비스,38.27,N/A,N/A
명신산업,009900,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
클리노믹스,352770,의료용품 및 기타 의약 관련제품 제조업,생물공학,-54.63,N/A,N/A
포인트모바일,318020,컴퓨터 및 주변장치 제조업,전자장비와기기,65.66,31.21,7.18
앱코,129890,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,61.76,9.19
엔에프씨,265740,기타 화학제품 제조업,화장품,89.76,18.83,6.15
제일전기공업,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,N/A,N/A
하나기술,299030,특수 목적용 기계 제조업,전자장비와기기,65.66,75.93,16.75
에이플러스에셋,244920,보험 및 연금관련 서비스업,손해보험,6.87,7.17,1.46
티앤엘,340570,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,N/A,N/A
고바이오랩,348150,자연과학 및 공학 연구개발업,생물공학,-54.63,N/A,N/A
네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",반도체와반도체장비,20.53,N/A,N/A
교촌에프앤비,339770,음·식료품 및 담배 도매업,식품,29.07,13.11,4.48
소룩스,290690,전구 및 조명장치 제조업,디스플레이장비및부품,86.49,N/A,N/A
위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,N/A,N/A
센코,347000,전자부품 제조업,전자장비와기기,65.66,N/A,N/A
바이브컴퍼니,301300,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
원포유,122830,전기 통신업,N/A,N/A,N/A,N/A
미코바이오메드,214610,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
피플바이오,304840,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,N/A,N/A
빅히트,352820,오디오물 출판 및 원판 녹음업,방송과엔터테인먼트,-19.04,N/A,N/A
넥스틴,348210,특수 목적용 기계 제조업,반도체와반도체장비,20.53,N/A,N/A
원방테크,053080,일반 목적용 기계 제조업,기계,-29.49,13.77,1.56
비나텍,126340,일차전지 및 축전지 제조업,전기장비,-220.85,57.10,6.60
엔에이치스팩17호,359090,금융 지원 서비스업,창업투자,34.69,N/A,N/A
박셀바이오,323990,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
티와이홀딩스,363280,기타 금융업,건설,7.32,N/A,N/A
비비씨,318410,그외 기타 제품 제조업,가정용품,14.53,17.08,1.68
교보10호기업인수목적,355150,기타 금융업,창업투자,34.69,N/A,N/A
핌스,347770,전자부품 제조업,디스플레이장비및부품,86.49,15.83,2.45
압타머사이언스,291650,자연과학 및 공학 연구개발업,생물공학,-54.63,N/A,N/A
이오플로우,294090,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
카카오게임즈,293490,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,281.22,4.50
피엔케이피부임상연구센타,347740,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,22.08,2.85
코람코에너지리츠,357120,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
미래에셋대우스팩 5호,353490,금융 지원 서비스업,창업투자,34.69,N/A,N/A
아이디피,332370,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,12.10,1.46
셀레믹스,331920,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
데이드림엔터,348840,"영화, 비디오물, 방송프로그램 제작 및 배급업",N/A,N/A,N/A,N/A
미투젠,950190,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,7.82,3.21
브랜드엑스코퍼레이션,337930,기타 정보 서비스업,"섬유,의류,신발,호화품",33.35,22.70,3.18
영림원소프트랩,060850,소프트웨어 개발 및 공급업,소프트웨어,86.51,20.52,3.70
한국파마,032300,의약품 제조업,제약,99.58,88.08,13.26
제이알글로벌리츠,348950,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
솔브레인,357780,기타 화학제품 제조업,반도체와반도체장비,25.67,N/A,N/A
이루다,164060,의료용 기기 제조업,건강관리장비와용품,208.42,25.74,3.63
미래에셋맵스리츠,357250,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
이지스레지던스리츠,350520,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
와이팜,332570,전자부품 제조업,핸드셋,-202.00,35.40,4.75
이엔드디,101360,기타 화학제품 제조업,화학,69.00,43.49,6.74
에이치엠씨제4호스팩,353070,금융 지원 서비스업,창업투자,34.69,N/A,N/A
엠투아이,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,22.31,2.60
더네이쳐홀딩스,298540,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,16.26,2.42
제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업,건강관리장비와용품,208.42,N/A,N/A
솔트룩스,304100,소프트웨어 개발 및 공급업,IT서비스,24.96,163.30,3.11
하나금융16호스팩,343510,금융 지원 서비스업,창업투자,34.69,N/A,N/A
바이오인프라생명과학,266470,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
티에스아이,277880,특수 목적용 기계 제조업,기계,-29.49,N/A,N/A
에이프로,262260,기타 전기장비 제조업,전자장비와기기,65.66,32.02,5.08
이지스밸류플러스리츠,334890,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
IBKS제13호스팩,351340,금융 지원 서비스업,창업투자,34.69,N/A,N/A
소마젠,950200,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,N/A,N/A
신도기연,290520,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,8.97,2.29
위더스제약,330350,의약품 제조업,제약,99.58,19.31,2.32
에스케이바이오팜,326030,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
엠브레인,169330,시장조사 및 여론조사업,IT서비스,24.96,15.96,3.47
젠큐릭스,229000,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,N/A,N/A
폭스소프트,354230,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
무진메디,322970,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
IBKS제14호스팩,351320,기타 금융업,창업투자,34.69,N/A,N/A
엘이티,297890,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,13.22,2.93
에스씨엠생명과학,298060,의약품 제조업,제약,99.58,N/A,N/A
엔에이치스팩16호,353190,금융 지원 서비스업,창업투자,34.69,N/A,N/A
이지바이오,353810,동물용 사료 및 조제식품 제조업,식품,33.41,N/A,N/A
드림씨아이에스,223250,자연과학 및 공학 연구개발업,제약,99.58,17.30,2.85
대덕전자,353200,전자부품 제조업,전자장비와기기,51.43,N/A,N/A
이베스트스팩5호,349720,금융 지원 서비스업,창업투자,34.69,N/A,N/A
오션스톤,329020,음·식료품 및 담배 도매업,N/A,N/A,N/A,N/A
이노진,344860,기타 화학제품 제조업,N/A,N/A,N/A,N/A
단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업,N/A,N/A,N/A,N/A
케이프이에스제4호,347140,기타 금융업,창업투자,34.69,N/A,N/A
엔피디,198080,전자부품 제조업,핸드셋,-202.00,16.42,0.95
플레이디,237820,광고업,광고,18.53,44.26,1.62
SK6호스팩,340350,금융 지원 서비스업,창업투자,20.78,N/A,N/A
서울바이오시스,092190,반도체 제조업,디스플레이장비및부품,86.49,75.61,3.90
제이앤티씨,204270,전자부품 제조업,전자장비와기기,65.66,4.79,1.47
켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",우주항공과국방,50.80,N/A,N/A
레몬,294140,화학섬유 제조업,화학,69.00,16.67,4.69
서남,294630,기타 전기장비 제조업,에너지장비및서비스,-35.73,N/A,N/A
신영스팩6호,344050,금융 지원 서비스업,창업투자,34.69,N/A,N/A
위세아이텍,065370,소프트웨어 개발 및 공급업,IT서비스,24.96,28.83,4.48
케이비제20호스팩,342550,금융 지원 서비스업,창업투자,20.78,342.50,1.08
하나금융15호스팩,341160,금융 지원 서비스업,창업투자,20.78,423.00,1.09
케이씨씨글라스,344820,유리 및 유리제품 제조업,건축자재,125.86,N/A,N/A
이앤에치,341310,기타 섬유제품 제조업,N/A,N/A,N/A,N/A
한화플러스제1호스팩,340440,금융 지원 서비스업,창업투자,20.78,N/A,N/A
엔에스엠,238170,합성고무 및 플라스틱 물질 제조업,N/A,N/A,N/A,N/A
천랩,311690,자연과학 및 공학 연구개발업,건강관리기술,-206.61,N/A,N/A
피피아이,062970,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
메탈라이프,327260,전자부품 제조업,통신장비,-92.63,N/A,N/A
아이비김영,339950,일반 교습 학원,교육서비스,-19.84,9.94,2.59
애드바이오텍,179530,의약품 제조업,N/A,N/A,N/A,N/A
하이제5호스팩,340120,금융 지원 서비스업,창업투자,20.78,298.57,1.13
브릿지바이오,288330,기초 의약물질 및 생물학적 제제 제조업,제약,99.58,129.82,4.43
대신밸런스제8호스팩,336570,금융 지원 서비스업,창업투자,20.78,N/A,N/A
메드팩토,235980,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
유안타제6호스팩,340360,금융 지원 서비스업,창업투자,20.78,N/A,N/A
신테카바이오,226330,소프트웨어 개발 및 공급업,건강관리업체및서비스,-57.53,N/A,N/A
제이엘케이,322510,소프트웨어 개발 및 공급업,건강관리기술,-206.61,N/A,N/A
태웅로직스,124560,기타 운송관련 서비스업,해운사,116.29,7.46,1.57
IBKS제12호스팩,335870,금융 지원 서비스업,창업투자,20.78,N/A,N/A
노드메이슨,317860,기타 화학제품 제조업,N/A,N/A,N/A,N/A
리메드,302550,의료용 기기 제조업,건강관리장비와용품,208.42,33.96,5.56
NH프라임리츠,338100,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
SK5호스팩,337450,금융 지원 서비스업,창업투자,20.78,N/A,N/A
비올,335890,의료용 기기 제조업,건강관리장비와용품,208.42,36.83,1.15
이도바이오,336040,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
진코스텍,250030,기타 화학제품 제조업,N/A,N/A,N/A,N/A
코리아센터,290510,소프트웨어 개발 및 공급업,인터넷과카탈로그소매,20.09,88.02,2.67
유안타제5호스팩,336060,금융 지원 서비스업,창업투자,20.78,N/A,N/A
유엑스엔,337840,의료용 기기 제조업,N/A,N/A,N/A,N/A
노터스,278650,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,45.90,4.14
센트랄모텍,308170,자동차 신품 부품 제조업,자동차부품,46.67,36.96,2.51
티움바이오,321550,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
씨에스베어링,297090,일반 목적용 기계 제조업,기계,-29.49,45.25,6.08
우양,103840,"과실, 채소 가공 및 저장 처리업",식품,29.07,19.89,2.17
코리아에셋투자증권,190650,기타 금융업,증권,6.53,5.18,0.69
현대에너지솔루션,322000,반도체 제조업,에너지장비및서비스,-35.73,12.37,1.22
에스제이그룹,306040,"가죽, 가방 및 유사제품 제조업","섬유,의류,신발,호화품",33.35,10.26,2.29
제테마,216080,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,N/A,N/A
한화시스템,272210,전자부품 제조업,우주항공과국방,50.80,25.92,2.04
라파스,214260,기타 화학제품 제조업,화장품,89.76,N/A,N/A
아이티엠반도체,084850,전자부품 제조업,전자장비와기기,65.66,23.00,4.23
미래에셋대우스팩4호,333430,금융 지원 서비스업,창업투자,20.78,N/A,N/A
자이에스앤디,317400,부동산 임대 및 공급업,건설,7.01,16.32,1.89
미디어젠,279600,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
하나금융14호스팩,332710,금융 지원 서비스업,창업투자,20.78,N/A,N/A
신한제6호스팩,333050,금융 지원 서비스업,창업투자,20.78,N/A,N/A
티라유텍,322180,소프트웨어 개발 및 공급업,IT서비스,24.96,28.12,3.48
롯데리츠,330590,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
지누스,013890,가구 제조업,가구,21.96,19.11,2.98
교보9호스팩,331520,금융 지원 서비스업,창업투자,20.78,N/A,N/A
캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업",양방향미디어와서비스,136.40,N/A,N/A
한국미라클피플사,331660,기타 화학제품 제조업,N/A,N/A,N/A,N/A
케이엔제이,272110,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,14.64,3.55
엔바이오니아,317870,그외 기타 제품 제조업,가정용기기와용품,15.82,N/A,N/A
팜스빌,318010,기타 식품 제조업,제약,99.58,9.99,1.52
두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,177.42,24.62
라온피플,300120,소프트웨어 개발 및 공급업,전자장비와기기,65.66,25.66,4.48
솔루스첨단소재,336370,전자부품 제조업,전자장비와기기,65.66,145.66,12.85
제이콘텐트리,036420,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
아톤,158430,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
녹십자웰빙,234690,의약품 제조업,제약,99.58,33.50,2.80
대신밸런스제7호스팩,332290,금융 지원 서비스업,창업투자,20.78,N/A,N/A
유진스팩5호,331380,금융 지원 서비스업,창업투자,20.78,229.44,1.10
엔지브이아이,093510,자동차 신품 부품 제조업,N/A,N/A,N/A,N/A
케이비제19호스팩,330990,금융 지원 서비스업,창업투자,20.78,208.50,1.09
올리패스,244460,기초 의약물질 및 생물학적 제제 제조업,화장품,89.76,N/A,N/A
라닉스,317120,반도체 제조업,통신장비,-92.63,N/A,N/A
윈텍,320000,특수 목적용 기계 제조업,전자장비와기기,65.66,24.30,2.74
한독크린텍,256150,일반 목적용 기계 제조업,가정용기기와용품,15.82,14.99,2.68
아퓨어스,149300,기초 의약물질 및 생물학적 제제 제조업,N/A,N/A,N/A,N/A
상상인이안제2호스팩,329560,금융 지원 서비스업,창업투자,20.78,202.00,1.10
네오크레마,311390,기타 식품 제조업,식품과기본식료품소매,128.99,57.18,1.52
마니커에프앤지,195500,"도축, 육류 가공 및 저장 처리업",식품,29.07,29.42,2.21
미래에셋대우스팩3호,328380,금융 지원 서비스업,창업투자,20.78,208.50,1.07
나노브릭,286750,기초 화학물질 제조업,화학,69.00,N/A,N/A
에스피시스템스,317830,특수 목적용 기계 제조업,기계,-29.49,N/A,N/A
레이,228670,의료용 기기 제조업,건강관리장비와용품,208.42,51.46,6.73
그린플러스,186230,1차 비철금속 제조업,비철금속,21.86,39.76,3.29
케어룸의료산업,327970,의료용 기기 제조업,N/A,N/A,N/A,N/A
코윈테크,282880,특수 목적용 기계 제조업,기계,-29.49,56.24,2.54
덕산테코피아,317330,기타 화학제품 제조업,디스플레이장비및부품,86.49,31.96,2.27
슈프리마아이디,317770,전자부품 제조업,전자장비와기기,65.66,184.90,1.36
한국바이오젠,318000,합성고무 및 플라스틱 물질 제조업,화학,69.00,22.21,2.50
세경하이테크,148150,전자부품 제조업,핸드셋,-202.00,N/A,N/A
윌링스,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",에너지장비및서비스,-35.73,58.95,2.21
대모,317850,특수 목적용 기계 제조업,기계,-29.49,69.03,0.94
에이스토리,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
플리토,300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",양방향미디어와서비스,136.40,N/A,N/A
이베스트이안스팩1호,323210,금융 지원 서비스업,창업투자,20.78,171.25,1.06
구스앤홈,329050,직물직조 및 직물제품 제조업,N/A,N/A,N/A,N/A
세틀뱅크,234340,기타 정보 서비스업,IT서비스,24.96,24.90,2.46
아이스크림에듀,289010,"서적, 잡지 및 기타 인쇄물 출판업",교육서비스,-19.84,22.22,1.28
펨토바이오메드,327610,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
펌텍코리아,251970,플라스틱제품 제조업,포장재,16.84,10.31,1.17
에이에프더블류,312610,일차전지 및 축전지 제조업,전기제품,206.26,72.18,2.67
티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업",N/A,N/A,N/A,N/A
신영스팩5호,323280,금융 지원 서비스업,창업투자,20.78,N/A,N/A
케이비제18호스팩,323940,금융 지원 서비스업,창업투자,20.78,170.83,1.05
엠에프엠코리아,323230,편조의복 제조업,"섬유,의류,신발,호화품",22.82,29.12,1.02
압타바이오,293780,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
까스텔바작,308100,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,17.59,1.18
마이크로디지탈,305090,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
원바이오젠,278380,의료용품 및 기타 의약 관련제품 제조업,N/A,N/A,N/A,N/A
유진스팩4호,321260,금융 지원 서비스업,창업투자,20.78,234.44,1.08
코퍼스코리아,322780,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-72.03,22.33,1.05
포스코케미칼,003670,"내화, 비내화 요업제품 제조업",화학,69.00,330.34,9.57
수젠텍,253840,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,N/A,N/A
컴퍼니케이,307930,기타 금융업,창업투자,20.78,11.90,2.16
다원넥스뷰,323350,사진장비 및 광학기기 제조업,N/A,N/A,N/A,N/A
피에스케이,319660,특수 목적용 기계 제조업,반도체와반도체장비,20.53,18.68,2.50
엔에이치스팩14호,319400,금융 지원 서비스업,창업투자,20.78,345.62,2.83
SNK,950180,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,49.90,2.03
한화에스비아이스팩,317320,금융 지원 서비스업,창업투자,20.78,222.00,1.78
TS트릴리온,317240,기타 화학제품 제조업,가정용품,12.07,35.23,1.18
이노벡스,279060,전자부품 제조업,N/A,N/A,N/A,N/A
아모그린텍,125210,전자부품 제조업,전자장비와기기,65.66,N/A,N/A
현대오토에버,307950,소프트웨어 개발 및 공급업,IT서비스,24.96,48.23,5.16
지노믹트리,228760,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,N/A,N/A
케이비17호스팩,317030,금융 지원 서비스업,창업투자,20.78,150.00,1.09
이지케어텍,099750,소프트웨어 개발 및 공급업,건강관리기술,-206.61,N/A,N/A
유안타제4호스팩,313750,금융 지원 서비스업,창업투자,20.78,160.00,1.10
미래에셋벤처투자,100790,기타 금융업,창업투자,20.78,14.16,1.71
드림텍,192650,전자부품 제조업,핸드셋,-202.00,38.42,2.84
더블유게임즈,192080,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,10.48,1.50
에코프로비엠,247540,일차전지 및 축전지 제조업,전기제품,206.26,104.30,9.14
셀리드,299660,자연과학 및 공학 연구개발업,생물공학,-54.63,N/A,N/A
우리금융지주,316140,기타 금융업,은행,4.87,5.14,0.30
천보,278280,기초 화학물질 제조업,디스플레이장비및부품,86.49,81.94,8.55
이노테라피,246960,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,N/A,N/A
노랑풍선,104620,여행사 및 기타 여행보조 서비스업,"호텔,레스토랑,레저",-25.26,N/A,N/A
웹케시,053580,소프트웨어 개발 및 공급업,소프트웨어,86.51,47.50,8.46
엘에이티,311060,특수 목적용 기계 제조업,N/A,N/A,N/A,N/A
에어부산,298690,항공 여객 운송업,항공사,-4.87,N/A,N/A
비피도,238200,기타 식품 제조업,제약,99.58,N/A,N/A
키움제5호스팩,311270,금융 지원 서비스업,창업투자,20.78,211.50,1.06
엔에이치스팩13호,310840,금융 지원 서비스업,창업투자,20.78,"1,080.00",1.13
유틸렉스,263050,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
디케이티,290550,전자부품 제조업,핸드셋,-202.00,17.12,2.81
아이엘사이언스,307180,전구 및 조명장치 제조업,디스플레이장비및부품,86.49,N/A,N/A
애니플러스,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
테크엔,308700,전구 및 조명장치 제조업,N/A,N/A,N/A,N/A
오하임아이엔티,309930,기타 생활용품 소매업,가구,25.24,14.39,1.49
위지윅스튜디오,299900,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
한국제8호스팩,310870,금융 지원 서비스업,창업투자,20.78,161.54,1.12
국전약품,307750,의약품 제조업,제약,222.91,74.56,3.98
에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
프로테옴텍,303360,의료용품 및 기타 의약 관련제품 제조업,N/A,N/A,N/A,N/A
머큐리,100590,통신 및 방송 장비 제조업,통신장비,-92.63,57.41,1.99
전진바이오팜,110020,기타 화학제품 제조업,화학,69.00,N/A,N/A
뉴트리,270870,기타 식품 제조업,제약,99.58,14.40,3.63
상상인이안1호스팩,307870,금융 지원 서비스업,창업투자,20.78,102.00,1.08
이노메트리,302430,특수 목적용 기계 제조업,전기제품,206.26,452.17,3.96
SK4호스팩,307070,금융 지원 서비스업,창업투자,20.78,155.00,1.13
대유에이피,290120,자동차 신품 부품 제조업,자동차부품,46.67,6.99,1.66
교보8호스팩,307280,금융 지원 서비스업,건강관리장비와용품,263.30,29.89,1.48
에코캡,128540,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
베스파,299910,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,N/A,N/A
윙입푸드,900340,기타 금융업,식품,29.07,7.17,0.53
하나머스트제6호스팩,307160,금융 지원 서비스업,창업투자,20.78,159.64,1.23
남화산업,111710,스포츠 서비스업,"호텔,레스토랑,레저",-25.26,58.86,1.53
엠아이텍,179290,의료용 기기 제조업,건강관리장비와용품,208.42,26.31,2.80
티로보틱스,117730,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,70.75,3.07
네오펙트,290660,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
에이펙스인텍,207490,전구 및 조명장치 제조업,N/A,N/A,N/A,N/A
티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
나라소프트,288490,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,N/A,N/A
디알젬,263690,의료용 기기 제조업,건강관리장비와용품,208.42,7.73,3.11
싸이토젠,217330,자연과학 및 공학 연구개발업,생물공학,-54.63,N/A,N/A
아주IB투자,027360,기타 금융업,창업투자,20.78,15.32,2.42
파멥신,208340,의약품 제조업,생물공학,-54.63,N/A,N/A
디케이앤디,263020,플라스틱제품 제조업,"섬유,의류,신발,호화품",33.35,20.72,1.71
디자인,227100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",핸드셋,-202.00,N/A,N/A
노바렉스,194700,기타 식품 제조업,제약,99.58,15.34,2.85
셀리버리,268600,자연과학 및 공학 연구개발업,생물공학,-54.63,N/A,N/A
대보마그네틱,290670,기타 전기장비 제조업,전기제품,206.26,"2,500.00",6.30
노바텍,285490,그외 기타 제품 제조업,핸드셋,-202.00,26.76,7.28
엘앤씨바이오,290650,의약품 제조업,건강관리장비와용품,208.42,97.86,13.32
네온테크,306620,특수 목적용 기계 제조업,반도체와반도체장비,20.53,162.78,6.36
로보티즈,108490,특수 목적용 기계 제조업,교육서비스,-19.84,N/A,N/A
옵티팜,153710,의료용품 및 기타 의약 관련제품 제조업,제약,99.58,N/A,N/A
에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,103.80,5.66
세아제강,306200,1차 철강 제조업,철강,41.60,9.81,0.45
나우IB,293580,기타 금융업,창업투자,20.78,18.47,1.29
푸드나무,290720,무점포 소매업,식품,29.07,28.83,2.96
하나제약,293480,의약품 제조업,제약,99.58,15.17,1.64
크리스에프앤씨,110790,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,9.12,1.19
더블유에스아이,299170,생활용품 도매업,제약,99.58,20.70,9.05
지티지웰니스,219750,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
우진아이엔에스,010400,건물설비 설치 공사업,건설,7.01,N/A,N/A
명성티엔에스,257370,특수 목적용 기계 제조업,전기제품,206.26,N/A,N/A
삼성스팩2호,291230,금융 지원 서비스업,창업투자,20.78,145.33,1.16
엔솔바이오사이언스,140610,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
디지캡,197140,소프트웨어 개발 및 공급업,소프트웨어,86.51,119.32,1.32
지니틱스,303030,반도체 제조업,반도체와반도체장비,20.53,60.60,3.37
액트로,290740,전자부품 제조업,핸드셋,-202.00,24.65,1.24
오파스넷,173130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,73.33,2.36
에이피티씨,089970,특수 목적용 기계 제조업,반도체와반도체장비,20.53,34.32,6.17
바이오솔루션,086820,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
더콘텐츠온,302920,"영화, 비디오물, 방송프로그램 제작 및 배급업",N/A,N/A,N/A,N/A
대유,290380,"비료, 농약 및 살균, 살충제 제조업",화학,69.00,31.89,2.25
신한알파리츠,293940,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
디아이티,110990,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,487.37,1.02
에스에스알,275630,소프트웨어 개발 및 공급업,소프트웨어,86.51,268.70,1.56
한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,7.57,0.59
휴네시온,290270,소프트웨어 개발 및 공급업,소프트웨어,86.51,30.33,2.26
티웨이항공,091810,항공 여객 운송업,항공사,-4.87,N/A,N/A
롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,17.01,1.49
한국유니온제약,080720,의약품 제조업,제약,99.58,N/A,N/A
그리티,204020,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,27.36,0.77
알로이스,297570,통신 및 방송 장비 제조업,전자제품,41.38,18.88,4.09
