회사명,종목코드,업종,업종1,업종2,PER,업종PER,PBR
미래에셋대우스팩 5호,353490,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
아이디피,332370,컴퓨터 및 주변장치 제조업,KOSDAQ  코스닥 IT H/W,FICS  컴퓨터 및 주변기기,11.80,79.95,1.83
셀레믹스,331920,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,28.38
데이드림엔터,348840,"영화, 비디오물, 방송프로그램 제작 및 배급업",KONEX,FICS  미디어,13.58,-,220.03
미투젠,950190,소프트웨어 개발 및 공급업,KOSDAQ,FICS  게임 소프트웨어,7.56,-,6.04
브랜드엑스코퍼레이션,337930,기타 정보 서비스업,KOSDAQ  코스닥 IT S/W & SVC,FICS  섬유 및 의복,26.39,63.90,12.80
영림원소프트랩,060850,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,20.31,63.90,9.19
한국파마,032300,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,91.39,265.86,18.99
제이알글로벌리츠,348950,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,-,35.79,-
솔브레인,357780,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,-,265.86,-
이루다,164060,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,26.23,265.86,5.40
미래에셋맵스리츠,357250,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,-,35.79,-
이지스레지던스리츠,350520,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,-,35.79,-
와이팜,332570,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,36.13,79.95,8.82
이엔드디,101360,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,42.69,265.86,24.27
에이치엠씨제4호스팩,353070,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
엠투아이,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,22.62,79.95,3.65
더네이쳐홀딩스,298540,"섬유, 의복, 신발 및 가죽제품 소매업",KOSDAQ  코스닥 유통,FICS  섬유 및 의복,15.98,428.28,3.73
제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,42.71
솔트룩스,304100,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,161.89,63.90,3.61
하나금융16호스팩,343510,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.85
바이오인프라생명과학,266470,자연과학 및 공학 연구개발업,KONEX,FICS  바이오,-,-,-
티에스아이,277880,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,-,265.86,5.17
에이프로,262260,기타 전기장비 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,31.77,265.86,11.38
이지스밸류플러스리츠,334890,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,-,35.79,-
IBKS제13호스팩,351340,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
소마젠,950200,"그외 기타 전문, 과학 및 기술 서비스업",KOSDAQ,FICS  바이오,-,-,-
신도기연,290520,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,9.02,265.86,2.78
위더스제약,330350,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,19.14,265.86,2.27
에스케이바이오팜,326030,자연과학 및 공학 연구개발업,KSE  코스피 서비스업,FICS  제약,-,62.18,-
엠브레인,169330,시장조사 및 여론조사업,KOSDAQ  코스닥 기타서비스,FICS  IT 서비스,15.65,-,3.17
젠큐릭스,229000,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,691.45
폭스소프트,354230,소프트웨어 개발 및 공급업,KONEX,FICS  도소매,36.79,-,9.99
무진메디,322970,자연과학 및 공학 연구개발업,KONEX,FICS  바이오,-,-,14.54
IBKS제14호스팩,351320,기타 금융업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
엘이티,297890,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,13.10,265.86,3.24
에스씨엠생명과학,298060,의약품 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,-,265.86,22.77
엔에이치스팩16호,353190,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
이지바이오,353810,동물용 사료 및 조제식품 제조업,KOSDAQ  코스닥 제조,FICS  식료품,-,265.86,-
드림씨아이에스,223250,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,17.30,-,6.68
대덕전자,353200,전자부품 제조업,"KSE  코스피 전기,전자",FICS  전자 장비 및 기기,-,33.32,-
이베스트스팩5호,349720,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
오션스톤,329020,음·식료품 및 담배 도매업,KONEX,FICS  식료품,10.42,-,4.76
이노진,344860,기타 화학제품 제조업,KONEX,FICS  개인생활용품,-,-,0.93
단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업,KONEX,FICS  제약,-,-,4.79
케이프이에스제4호,347140,기타 금융업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,-
엔피디,198080,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,3.51,79.95,1.17
플레이디,237820,광고업,KOSDAQ  코스닥 기타서비스,FICS  미디어,12.18,-,1.99
SK6호스팩,340350,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.05
서울바이오시스,092190,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,127.95,79.95,4.26
제이앤티씨,204270,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,6.33,265.86,1.90
켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",KOSDAQ  코스닥 제조,FICS  상업서비스,-,265.86,3.37
레몬,294140,화학섬유 제조업,KOSDAQ  코스닥 제조,FICS  화학,-,265.86,15.05
서남,294630,기타 전기장비 제조업,KOSDAQ  코스닥 제조,FICS  에너지 시설 및 서비스,-,265.86,9.94
신영스팩6호,344050,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.04
위세아이텍,065370,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  IT 서비스,28.95,265.86,6.97
케이비제20호스팩,342550,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.75
하나금융15호스팩,341160,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.41
케이씨씨글라스,344820,유리 및 유리제품 제조업,KSE  코스피 비금속광물,FICS  건축자재,-,41.94,-
이앤에치,341310,기타 섬유제품 제조업,KONEX,FICS  가정생활용품,-,-,8.34
한화플러스제1호스팩,340440,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.09
엔에스엠,238170,합성고무 및 플라스틱 물질 제조업,KONEX,FICS  용기 및 포장,12.67,-,0.83
천랩,311690,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  의료 장비 및 서비스,-,-,5.01
피피아이,062970,통신 및 방송 장비 제조업,KOSDAQ  코스닥 제조,FICS  통신장비,18.88,265.86,2.65
메탈라이프,327260,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  통신장비,81.00,265.86,4.72
아이비김영,339950,일반 교습 학원,KOSDAQ  코스닥 기타서비스,FICS  교육,9.83,-,4.03
애드바이오텍,179530,의약품 제조업,KONEX,FICS  제약,128.18,-,7.34
하이제5호스팩,340120,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.14
브릿지바이오,288330,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  제약,129.51,265.86,3.68
대신밸런스제8호스팩,336570,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.09
메드팩토,235980,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,-,-,21.25
유안타제6호스팩,340360,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.03
신테카바이오,226330,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,5.15
제이엘케이,322510,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  의료 장비 및 서비스,-,63.90,3.73
태웅로직스,124560,기타 운송관련 서비스업,KOSDAQ  코스닥 운송,FICS  해상운수,7.38,21.79,1.96
