회사명,종목코드,업종,업종1,업종2,PER,업종PER,PBR
삼일씨엔에스,004440,"시멘트, 석회, 플라스터 및 그 제품 제조업",KSE  코스피 비금속광물,FICS  건축소재,66.44,41.94,0.64
팬젠,222110,의약품 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,6.28
바이옵트로,222160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KONEX,FICS  전자 장비 및 기기,-,-,9.38
AP위성,211270,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  통신장비,301.91,79.95,2.40
에이트원,230980,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  일반 소프트웨어,-,265.86,5.55
큐리언트,115180,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,-,-,18.93
안트로젠,065660,기타 전문 도매업,KOSDAQ  코스닥 유통,FICS  제약,-,428.28,8.70
슈프리마,236200,통신 및 방송 장비 제조업,KOSDAQ  코스닥 제조,FICS  보안장비,7.89,265.86,1.51
제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",KSE  코스피 제조업,FICS  섬유 및 의복,14.78,36.72,0.73
아이엠텍,226350,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,0.02
유니트론텍,142210,자동차 부품 및 내장품 판매업,KOSDAQ  코스닥 유통,FICS  반도체 및 관련장비,27.49,428.28,1.76
크리스탈신소재,900250,기타 금융업,KOSDAQ,FICS  금속 및 광물,5.18,-,0.44
자안,221610,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,49.12,265.86,1.29
메디젠휴먼케어,236340,자연과학 및 공학 연구개발업,KONEX,FICS  바이오,-,-,-
선바이오,067370,의약품 제조업,KONEX,FICS  바이오,307.90,-,33.18
볼빅,206950,운동 및 경기용구 제조업,KONEX,FICS  레저용품,-,-,1.23
이엠티,232530,일차전지 및 축전지 제조업,KONEX,FICS  전자 장비 및 기기,-,-,6.60
에스와이,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업",KOSDAQ  코스닥 제조,FICS  건축자재,-,265.86,0.95
질경이,233990,기타 화학제품 제조업,KONEX,FICS  개인생활용품,-,-,3.82
코디엠,224060,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,9.66,79.95,0.90
잇츠한불,226320,기타 화학제품 제조업,KSE  코스피 화학,FICS  개인생활용품,-,65.84,1.53
지오씨,135160,절연선 및 케이블 제조업,KONEX,FICS  통신장비,99.59,-,1.14
크로넥스,215570,자연과학 및 공학 연구개발업,KONEX,FICS  바이오,-,-,7.81
경남제약헬스케어,223310,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  자동차부품,-,63.90,0.69
와이아이케이,232140,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,-,79.95,4.40
육일씨엔에쓰,191410,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,0.76
휴젤,145020,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,57.35,265.86,3.14
한국맥널티,222980,기타 식품 제조업,KOSDAQ  코스닥 제조,FICS  식료품,-,265.86,2.19
덱스터,206560,"영화, 비디오물, 방송프로그램 제작 및 배급업","KOSDAQ  코스닥 오락, 문화",FICS  미디어,-,-,2.95
아진산업,013310,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,9.87,265.86,0.68
강스템바이오텍,217730,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,2.45
에이원알폼,234070,산업용 기계 및 장비 임대업,KONEX,FICS  건축자재,-,-,2.14
에이치엘비제약,047920,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,628.02,-,12.44
메가엠디,133750,일반 교습 학원,KOSDAQ  코스닥 기타서비스,FICS  교육,201.80,-,1.49
보광산업,225530,기타 비금속 광물제품 제조업,KOSDAQ  코스닥 제조,FICS  건축소재,31.49,265.86,2.91
파크시스템스,140860,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,79.85,265.86,15.32
에치에프알,230240,통신 및 방송 장비 제조업,KOSDAQ  코스닥 제조,FICS  통신장비,307.45,265.86,3.90
예스티,122640,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,-,79.95,3.24
코스맥스엔비티,222040,기타 식품 제조업,KOSDAQ  코스닥 제조,FICS  식료품,-,265.86,2.23
라온테크,232680,특수 목적용 기계 제조업,KONEX,FICS  반도체 및 관련장비,-,-,23.90
멕아이씨에스,058110,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,48.39
에이치엔에스하이텍,044990,전자부품 제조업,KONEX,FICS  디스플레이 및 관련부품,-,-,2.56
미애부,225850,생활용품 도매업,KONEX,FICS  식료품,-,-,-
엔에스,217820,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,29.37,265.86,3.92
미래테크놀로지,213090,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  보안장비,15.27,63.90,0.82
세진중공업,075580,선박 및 보트 건조업,KSE  코스피 운수장비,FICS  조선,139.29,26.97,2.09
하이즈항공,221840,"항공기,우주선 및 부품 제조업",KOSDAQ  코스닥 제조,FICS  운송인프라,25.39,265.86,1.13
캔서롭,180400,기타 과학기술 서비스업,KOSDAQ  코스닥 기타서비스,FICS  의료 장비 및 서비스,-,-,7.26
매직마이크로,127160,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,0.31
케이디켐,221980,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,7.14,265.86,0.67
네오오토,212560,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,16.30,265.86,0.51
엔투텍,227950,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,-,265.86,2.55
케어젠,214370,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,27.06,265.86,2.74
아이진,185490,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,-,-,7.34
인카금융서비스,211050,보험 및 연금관련 서비스업,KONEX,FICS  보험,12.13,-,3.35
나무가,190510,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,3.02
유앤아이,056090,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,0.89
금호에이치티,214330,자동차 신품 부품 제조업,KSE  코스피 운수장비,FICS  자동차부품,-,26.97,1.14
제주항공,089590,항공 여객 운송업,KSE  코스피 운수창고,FICS  항공운수,-,-,1.74
본느,226340,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,16.89,265.86,2.53
파마리서치바이오,217950,의약품 제조업,KONEX,FICS  제약,-,-,4.41
연우,115960,플라스틱제품 제조업,KOSDAQ  코스닥 제조,FICS  용기 및 포장,19.15,265.86,1.53
럭스피아,092590,반도체 제조업,KONEX,FICS  디스플레이 및 관련부품,7.84,-,1.12
노브메타파마,229500,자연과학 및 공학 연구개발업,KONEX,FICS  음료,-,-,110.80
엔케이맥스,182400,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,5.81
현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,KSE  코스피 유통업,FICS  식료품,10.85,31.64,0.60
엑시콘,092870,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,-,79.95,2.01
이엑스티,226360,토목 건설업,KOSDAQ  코스닥 건설,FICS  건설,-,15.46,1.85
엄지하우스,224810,실내건축 및 건축마무리 공사업,KONEX,FICS  건설,8.84,-,0.72
메디쎄이,200580,의료용 기기 제조업,KONEX,FICS  의료 장비 및 서비스,19.77,-,1.64
뉴지랩,214870,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  보안장비,-,79.95,4.13
케이엠제약,225430,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,-,265.86,2.45
한송네오텍,226440,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,177.97,265.86,2.97
패션플랫폼,225590,봉제의복 제조업,KOSDAQ  코스닥 제조,FICS  섬유 및 의복,9.63,265.86,0.97
LIG넥스원,079550,무기 및 총포탄 제조업,KSE  코스피 기계,FICS  상업서비스,291.46,75.92,1.46
넷게임즈,225570,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,-,63.90,14.43
제너셈,217190,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,15.11,79.95,2.34
타이거일렉,219130,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,50.11,79.95,1.85
HDC아이콘트롤스,039570,전기 및 통신 공사업,KSE  코스피 건설업,FICS  건설,-,7.51,1.01
동일제강,002690,1차 철강 제조업,KSE  코스피 철강및금속,FICS  금속 및 광물,37.20,16.61,0.32
인포마크,175140,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,2.83
씨아이에스,222080,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,74.97,265.86,16.90
해마로푸드서비스,220630,음·식료품 및 담배 도매업,KOSDAQ  코스닥 유통,FICS  호텔 및 레저,23.23,428.28,3.97
에이텍티앤,224110,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,43.61,79.95,2.24
웹스,196700,합성고무 및 플라스틱 물질 제조업,KOSDAQ  코스닥 제조,FICS  화학,-,265.86,0.70
AJ네트웍스,095570,산업용 기계 및 장비 임대업,KSE  코스피 서비스업,FICS  운송인프라,4.10,62.18,0.59
파인텍,131760,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,591.58,79.95,1.07
마이더스AI,222810,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,-,63.90,4.35
심텍,222800,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,-,79.95,3.57
흥국에프엔비,189980,비알코올음료 및 얼음 제조업,KOSDAQ  코스닥 제조,FICS  음료,16.92,265.86,1.21
쎄노텍,222420,기타 비금속 광물제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,-,265.86,2.34
칩스앤미디어,094360,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  반도체 및 관련장비,31.98,63.90,4.51
아시아경제,127710,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",KOSDAQ  코스닥 IT S/W & SVC,FICS  미디어,14.85,63.90,0.54
엔에스컴퍼니,224760,토목 건설업,KONEX,FICS  에너지 시설 및 서비스,-,-,0.60
아이쓰리시스템,214430,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,885.03,265.86,2.21
로지시스,067730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KOSDAQ  코스닥 IT S/W & SVC,FICS  통신장비,-,63.90,3.22
플럼라인생명과학,222670,자연과학 및 공학 연구개발업,KONEX,FICS  제약,-,-,-
켐트로스,220260,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,630.20,265.86,4.12
파마리서치프로덕트,214450,생활용품 도매업,KOSDAQ  코스닥 유통,FICS  바이오,38.02,428.28,2.96
MP한강,219550,생활용품 도매업,KOSDAQ  코스닥 유통,FICS  개인생활용품,-,428.28,1.54
펩트론,087010,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,7.76
이노션,214320,광고업,KSE  코스피 서비스업,FICS  미디어,17.25,62.18,1.66
토니모리,214420,기타 화학제품 제조업,KSE  코스피 화학,FICS  개인생활용품,-,65.84,1.51
네추럴FNP,086220,기타 식품 제조업,KONEX,FICS  식료품,-,-,2.18
아이피몬스터,223220,소프트웨어 개발 및 공급업,KONEX,FICS  게임 소프트웨어,-,-,-
미래에셋생명,085620,보험업,KSE  코스피 보험,FICS  보험,6.73,10.73,0.31
RFHIC,218410,통신 및 방송 장비 제조업,KOSDAQ  코스닥 제조,FICS  통신장비,51.07,265.86,5.12
동운아나텍,094170,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,25.15,79.95,4.34
민앤지,214180,기타 정보 서비스업,KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,13.24,63.90,1.84
유테크,178780,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,3.40
경보제약,214390,기초 의약물질 및 생물학적 제제 제조업,KSE  코스피 의약품,FICS  제약,64.00,140.79,2.27
바이오코아,216400,자연과학 및 공학 연구개발업,KONEX,FICS  바이오,84.12,-,6.15
유투바이오,221800,기타 과학기술 서비스업,KONEX,FICS  의료 장비 및 서비스,-,-,2.93
이큐셀,160600,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,-,265.86,0.59
켐온,217600,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,116.31,-,5.06
코아스템,166480,의약품 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,5.23
세미콘라이트,214310,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,0.66
SK디앤디,210980,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,17.57,62.18,2.18
씨앗,103660,기타 화학제품 제조업,KONEX,FICS  화학,239.49,-,3.50
베셀,177350,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,3.34
넵튠,217270,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  게임 소프트웨어,-,265.86,9.10
미래생명자원,218150,동물용 사료 및 조제식품 제조업,KOSDAQ  코스닥 제조,FICS  식료품,63.83,265.86,2.16
싸이맥스,160980,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,53.38,79.95,2.08
러셀,217500,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,37.95,265.86,3.86
픽셀플러스,087600,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,-,79.95,0.68
디딤,217620,음식점업,KOSDAQ,FICS  호텔 및 레저,53.16,-,2.06
제노포커스,187420,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,3.45
틸론,217880,소프트웨어 개발 및 공급업,KONEX,FICS  IT 서비스,-,-,4.79
관악산업,076340,기반조성 및 시설물 축조관련 전문공사업,KONEX,FICS  건설,7.27,-,0.52
우정바이오,215380,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  의료 장비 및 서비스,260.32,-,2.68
토박스코리아,215480,"섬유, 의복, 신발 및 가죽제품 소매업",KOSDAQ  코스닥 유통,FICS  섬유 및 의복,297.87,428.28,2.00
이노인스트루먼트,215790,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  통신장비,-,79.95,1.73
우리산업,215360,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,32.78,265.86,2.11
메가스터디교육,215200,일반 교습 학원,KOSDAQ  코스닥 기타서비스,FICS  교육,11.42,-,2.14
썬테크,217320,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KONEX,FICS  전기장비,-,-,4.34
원텍,216280,의료용 기기 제조업,KONEX,FICS  의료 장비 및 서비스,-,-,26.59
이디티,215090,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KOSDAQ  코스닥 제조,FICS  상업서비스,-,265.86,0.78
로보로보,215100,기타 전기장비 제조업,KOSDAQ  코스닥 IT S/W & SVC,FICS  교육,81.03,63.90,3.45
디알텍,214680,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,82.62,265.86,2.15
에이비프로바이오,195990,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,-,265.86,1.57
골프존,215000,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  호텔 및 레저,25.54,63.90,2.07
클래시스,214150,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,31.07,265.86,12.15
비엔디생활건강,215050,기타 화학제품 제조업,KONEX,FICS  가정생활용품,-,-,0.66
엔에스쇼핑,138250,무점포 소매업,KSE  코스피 유통업,FICS  온라인쇼핑,-,31.64,0.96
퓨쳐스트림네트웍스,214270,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  미디어,32.50,265.86,1.93
세화아이엠씨,145210,특수 목적용 기계 제조업,KSE  코스피 기계,FICS  자동차부품,-,75.92,0.78
포시에스,189690,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,11.31,63.90,1.02
덕산네오룩스,213420,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,50.51,79.95,6.04
한솔제지,213500,"펄프, 종이 및 판지 제조업","KSE  코스피 종이,목재",FICS  종이 및 목재,8.03,24.35,0.54
디와이파워,210540,특수 목적용 기계 제조업,KSE  코스피 기계,FICS  자동차부품,7.06,75.92,0.81
국일신동,060480,1차 비철금속 제조업,KOSDAQ  코스닥 제조,FICS  금속 및 광물,-,265.86,0.92
듀켐바이오,176750,의약품 제조업,KONEX,FICS  제약,-,-,-
바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,39.27,265.86,5.71
스튜디오산타클로스,204630,창작 및 예술관련 서비스업,"KOSDAQ  코스닥 오락, 문화",FICS  미디어,-,-,1.58
썸에이지,208640,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  게임 소프트웨어,-,265.86,7.07
와이제이엠게임즈,193250,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,1.72
에이팩트,200470,"그외 기타 전문, 과학 및 기술 서비스업",KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,30.76,79.95,2.12
휴메딕스,200670,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,20.14,265.86,1.60
래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",KONEX,FICS  미디어,52.98,-,12.02
바이오로그디바이스,208710,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,7.63,79.95,0.83
서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KOSDAQ  코스닥 제조,FICS  전기장비,24.17,265.86,0.86
아스트,067390,"항공기,우주선 및 부품 제조업",KOSDAQ  코스닥 제조,FICS  기계,-,265.86,0.78
오킨스전자,080580,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,"1,672.81",79.95,14.77
지란지교시큐리티,208350,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  일반 소프트웨어,17.48,265.86,1.07
NEW,160550,"영화, 비디오물, 방송프로그램 제작 및 배급업","KOSDAQ  코스닥 오락, 문화",FICS  미디어,-,-,2.39
아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,266.41,63.90,2.91
미래엔에듀파트너,208890,교육지원 서비스업,KONEX,FICS  교육,11.19,-,0.51
삼성물산,028260,기타 전문 도매업,KSE  코스피 유통업,FICS  복합 산업,23.87,31.64,0.96
녹십자엠에스,142280,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,5.54
디티앤씨,187220,기타 과학기술 서비스업,KOSDAQ  코스닥 기타서비스,FICS  통신장비,-,-,0.98
셀바스헬스케어,208370,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,2.39
정다운,208140,"도축, 육류 가공 및 저장 처리업",KOSDAQ  코스닥 제조,FICS  식료품,81.72,265.86,1.44
하이로닉,149980,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,29.17,265.86,1.58
랩지노믹스,084650,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,173.24,-,5.32
빅텐츠,210120,"영화, 비디오물, 방송프로그램 제작 및 배급업",KONEX,FICS  미디어,-,-,4.12
에이디테크놀로지,200710,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,35.16,79.95,4.86
비씨월드제약,200780,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,28.23,265.86,1.74
미스터블루,207760,기타 정보 서비스업,KOSDAQ  코스닥 IT S/W & SVC,FICS  미디어,22.28,63.90,6.05
알테오젠,196170,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,-,-,56.87
베노홀딩스,206400,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,54.72,63.90,3.44
PI첨단소재,178920,플라스틱제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,71.27,265.86,5.03
대창스틸,140520,1차 철강 제조업,KOSDAQ  코스닥 제조,FICS  건축자재,-,265.86,0.54
피노텍,150440,소프트웨어 개발 및 공급업,KONEX,FICS  IT 서비스,-,-,15.01
에프엔씨엔터,173940,창작 및 예술관련 서비스업,"KOSDAQ  코스닥 오락, 문화",FICS  미디어,-,-,1.20
휴마시스,205470,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,12.92
씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업",KSE  코스피 기계,FICS  에너지 시설 및 서비스,50.00,75.92,4.13
텔콘RF제약,200230,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  통신장비,-,79.95,3.92
지엘팜텍,204840,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,-,-,21.49
글로벌텍스프리,204620,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  소비자 금융,19.86,22.62,1.30
디에이테크놀로지,196490,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,-,265.86,1.24
삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KSE  코스피 서비스업,FICS  IT 서비스,20.59,62.18,2.32
아이케이세미콘,149010,반도체 제조업,KONEX,FICS  반도체 및 관련장비,26.79,-,2.48
액션스퀘어,205500,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,-,63.90,4.02
엑셈,205100,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,34.65,63.90,2.35
테고사이언스,191420,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,267.28,265.86,4.79
슈피겐코리아,192440,그외 기타 제품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,9.92,79.95,1.32
테라셈,182690,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,-,79.95,4.51
영우디에스피,143540,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,4.41
유니포인트,121060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KONEX,FICS  IT 서비스,-,-,0.79
드림시큐리티,203650,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 제조,FICS  일반 소프트웨어,59.85,265.86,2.86
메디아나,041920,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,18.02,265.86,2.12
데브시스터즈,194480,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,-,63.90,2.85
만도,204320,자동차 신품 부품 제조업,KSE  코스피 운수장비,FICS  자동차부품,29.74,26.97,2.17
프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,-,265.86,5.94
감마누,192410,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  통신장비,56.72,79.95,2.33
고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업",KOSDAQ  코스닥 제조,FICS  건축소재,34.98,265.86,1.34
판도라티비,202960,소프트웨어 개발 및 공급업,KONEX,FICS  미디어,-,-,0.80
서연이화,200880,자동차 신품 부품 제조업,KSE  코스피 운수장비,FICS  자동차부품,-,26.97,0.34
신화콘텍,187270,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,0.59
쿠쿠홀딩스,192400,기타 금융업,KSE  코스피 금융업,FICS  내구소비재,10.30,8.49,1.13
파버나인,177830,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  금속 및 광물,-,265.86,1.30
덕신하우징,090410,"구조용 금속제품, 탱크 및 증기발생기 제조업",KOSDAQ  코스닥 제조,FICS  건축자재,43.53,265.86,0.86
창해에탄올,004650,알코올음료 제조업,KOSDAQ  코스닥 제조,FICS  음료,5.52,265.86,0.87
윈하이텍,192390,"구조용 금속제품, 탱크 및 증기발생기 제조업",KOSDAQ  코스닥 제조,FICS  건축자재,-,265.86,0.70
아진엑스텍,059120,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,28.43,79.95,1.52
콜마비앤에이치,200130,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  식료품,27.60,265.86,5.95
화인베스틸,133820,1차 철강 제조업,KSE  코스피 철강및금속,FICS  금속 및 광물,-,16.61,0.82
에이비온,203400,자연과학 및 공학 연구개발업,KONEX,FICS  의료 장비 및 서비스,-,-,-
트루윈,105550,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,-,265.86,2.22
큐엠씨,136660,특수 목적용 기계 제조업,KONEX,FICS  전자 장비 및 기기,-,-,2.92
데이터스트림즈,199150,소프트웨어 개발 및 공급업,KONEX,FICS  IT 서비스,-,-,19.60
툴젠,199800,자연과학 및 공학 연구개발업,KONEX,FICS  바이오,-,-,31.62
디오스텍,196450,사진장비 및 광학기기 제조업,KOSDAQ  코스닥 제조,FICS  휴대폰 및 관련부품,9.45,265.86,0.74
캐스텍코리아,071850,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,-,265.86,0.50
BGF,027410,기타 금융업,KSE  코스피 금융업,FICS  도소매,23.01,8.49,0.41
나노,187790,기초 화학물질 제조업,KOSDAQ  코스닥 제조,FICS  화학,90.27,265.86,0.82
케이사인,192250,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,30.28,63.90,2.03
