,회사명,종목코드,업종,업종2,업종PER,PER,PBR
1890,세보엠이씨,011560,건물설비 설치 공사업,건설,7.01,,0.43
1891,한일단조,024740,자동차 신품 부품 제조업,자동차부품,46.67,18.18,0.52
1892,WISCOM,024070,플라스틱제품 제조업,화학,69.0,55.12,0.50
1893,동원수산,030720,어로 어업,식품,29.07,63.66,0.78
1894,미래산업,025560,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체와반도체장비,20.53,,0.78
1895,KTB투자증권,030210,금융 지원 서비스업,증권,6.53,4.94,0.52
1896,양지사,030960,인쇄 및 인쇄관련 산업,문구류,4.59,1.89,1.03
1897,HDC,012630,기타 금융업,건설,7.01,6.53,0.29
1898,광전자,017900,반도체 제조업,전자장비와기기,65.66,42.28,0.62
1899,한국단자공업,025540,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",자동차부품,46.67,18.03,1.18
1900,원익홀딩스,030530,기타 금융업,반도체와반도체장비,20.53,8.40,0.58
1901,한글과컴퓨터,030520,소프트웨어 개발 및 공급업,소프트웨어,86.51,12.63,1.58
1902,메이슨캐피탈,021880,기타 금융업,기타금융,4.61,,1.38
1903,대호피앤씨,021040,1차 철강 제조업,철강,41.6,93.65,0.88
1904,릭스솔루션,029480,통신 및 방송 장비 제조업,통신장비,-92.63,,1.38
1905,디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체와반도체장비,20.53,18.73,1.16
1906,신성이엔지,011930,반도체 제조업,반도체와반도체장비,20.53,47.89,3.33
1907,티에이치엔,019180,기타 전기장비 제조업,자동차부품,46.67,3.56,0.98
1908,한온시스템,018880,일반 목적용 기계 제조업,자동차부품,46.67,69.77,4.57
1909,미래SCI,028040,상품 중개업,화학,69.0,,0.74
1910,에이치엘비,028300,선박 및 보트 건조업,조선,-22.0,,24.01
1911,팜스토리,027710,동물용 사료 및 조제식품 제조업,식품,29.07,,0.94
1912,세원정공,021820,자동차 신품 부품 제조업,자동차부품,46.67,5.42,0.19
1913,세하,027970,"펄프, 종이 및 판지 제조업",포장재,16.84,4.14,1.2
1914,영풍제지,006740,"골판지, 종이 상자 및 종이용기 제조업",종이와목재,41.06,15.26,0.87
1915,유니온,000910,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,,0.90
1916,키다리스튜디오,020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",양방향미디어와서비스,136.4,75.68,9.49
1917,한섬,020000,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,11.23,0.75
1918,현대엘리베이터,017800,일반 목적용 기계 제조업,기계,-29.49,19.93,1.84
1919,환인제약,016580,의약품 제조업,제약,99.58,16.17,1.0
1920,삼보판지,023600,"펄프, 종이 및 판지 제조업",포장재,16.84,7.32,0.53
1921,삼목에스폼,018310,"구조용 금속제품, 탱크 및 증기발생기 제조업",건축제품,-47.58,12.88,0.47
1922,에이스침대,003800,가구 제조업,가구,21.96,10.35,0.83
1923,원익큐브,014190,기타 전문 도매업,화학,69.0,9.15,0.91
1924,계룡건설산업,013580,토목 건설업,건설,7.01,2.92,0.5
1925,서원,021050,금속 주조업,비철금속,21.86,39.74,1.17
1926,에스원,012750,"경비, 경호 및 탐정업",상업서비스와공급품,24.9,22.26,2.11
1927,태경산업,015890,기초 화학물질 제조업,비철금속,21.86,7.50,0.61
1928,리드코프,012700,기타 전문 도매업,기타금융,4.61,4.00,0.41
1929,유니슨,018000,일반 목적용 기계 제조업,기계,-29.49,,6.36
1930,아난티,025980,일반 및 생활 숙박시설 운영업,"호텔,레스토랑,레저",-25.26,,1.74
1931,광진실업,026910,1차 철강 제조업,철강,41.6,,1.06
1932,인터엠,017250,영상 및 음향기기 제조업,전자장비와기기,51.43,,0.67
1933,신대양제지,016590,"골판지, 종이 상자 및 종이용기 제조업",포장재,16.84,5.54,0.56
1934,유양디앤유,011690,반도체 제조업,디스플레이장비및부품,86.49,,0.31
1935,남해화학,025860,"비료, 농약 및 살균, 살충제 제조업",화학,69.0,14.06,0.93
1936,동원금속,018500,자동차 신품 부품 제조업,자동차부품,46.67,3.27,0.84
1937,성안,011300,직물직조 및 직물제품 제조업,"섬유,의류,신발,호화품",33.35,,0.95
1938,성우하이텍,015750,자동차 신품 부품 제조업,자동차부품,46.67,16.07,0.58
1939,대신정보통신,020180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,38.52,2.8
1940,서부T&D,006730,일반 및 생활 숙박시설 운영업,"호텔,레스토랑,레저",-25.26,"9,901.23",0.68
1941,HMM,011200,해상 운송업,해운사,116.29,,4.20
1942,경인양행,012610,기초 화학물질 제조업,화학,69.0,292.40,1.4
1943,풀무원,017810,기타 식품 제조업,식품,29.07,42.10,1.83
1944,서울도시가스,017390,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,3.46,0.34
1945,이구산업,025820,1차 비철금속 제조업,비철금속,21.86,,0.65
1946,동신건설,025950,토목 건설업,건설,7.01,347.29,3.35
1947,동화기업,025900,나무제품 제조업,건축자재,36.34,39.93,1.91
1948,에넥스,011090,가구 제조업,가구,21.96,,2.35
1949,에이프로젠 KIC,007460,기타 금속 가공제품 제조업,기계,-29.49,,1.07
1950,제이준코스메틱,025620,기타 화학제품 제조업,화장품,89.76,,1.18
1951,한국카본,017960,"구조용 금속제품, 탱크 및 증기발생기 제조업",조선,-22.0,8.79,1.38
1952,신라에스지,025870,음·식료품 및 담배 도매업,식품,29.07,100.81,4.62
1953,케이씨피드,025880,동물용 사료 및 조제식품 제조업,식품,29.07,,0.77
