,회사명,종목코드,업종,업종2,업종PER,PER,PBR
0,나우코스,257990,기타 화학제품 제조업,,,29.21,6.43
1,에이스캠퍼,322190,자동차 차체 및 트레일러 제조업,,,,19.07
2,유안타제7호스팩,367460,금융 지원 서비스업,창업투자,20.78,,
3,루트락,253610,기타 전문 도매업,,,,
4,ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업,,35.79,,
5,대신밸런스제9호스팩,369370,금융 지원 서비스업,기타,22.62,,
6,석경에이티,357550,기초 화학물질 제조업,화학,85.75,104.35,11.54
7,지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,제약,99.58,,
8,프리시젼바이오,335810,의료용 기기 제조업,생명과학도구및서비스,38.27,,16.78
9,알체라,347860,소프트웨어 개발 및 공급업,소프트웨어,86.51,,27.38
10,엔에이치스팩18호,365590,금융 지원 서비스업,창업투자,20.78,,
11,에프앤가이드,064850,기타 정보 서비스업,IT서비스,24.96,27.27,2.19
12,에이치엠씨제5호스팩,353060,금융 지원 서비스업,창업투자,20.78,,
13,티엘비,356860,전자부품 제조업,반도체와반도체장비,20.53,22.45,5.66
14,씨엔티드림,286000,기타 화학제품 제조업,,,,4.73
15,인바이오,352940,"비료, 농약 및 살균, 살충제 제조업",화학,69.0,34.07,3.42
16,엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,,50.1
17,DB금융스팩8호,367340,기타 금융업,창업투자,20.78,,
18,퀀타매트릭스,317690,의료용 기기 제조업,생명과학도구및서비스,38.27,,8.94
19,명신산업,009900,자동차 신품 부품 제조업,자동차부품,46.67,37.13,16.26
20,클리노믹스,352770,의료용품 및 기타 의약 관련제품 제조업,생물공학,-54.63,,31.32
21,포인트모바일,318020,컴퓨터 및 주변장치 제조업,전자장비와기기,65.66,31.21,7.18
22,앱코,129890,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,61.76,9.19
23,엔에프씨,265740,기타 화학제품 제조업,화장품,89.76,18.83,6.15
24,제일전기공업,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,16.79,3.73
25,하나기술,299030,특수 목적용 기계 제조업,전자장비와기기,65.66,75.93,16.75
26,에이플러스에셋,244920,보험 및 연금관련 서비스업,손해보험,6.87,7.17,1.46
27,티앤엘,340570,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,18.80,4.12
28,고바이오랩,348150,자연과학 및 공학 연구개발업,생물공학,-54.63,,
29,네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",반도체와반도체장비,20.53,72.79,12.7
30,교촌에프앤비,339770,음·식료품 및 담배 도매업,식품,29.07,13.11,4.48
31,소룩스,290690,전구 및 조명장치 제조업,디스플레이장비및부품,86.49,21.03,6.0
32,위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,17.21,4.01
33,센코,347000,전자부품 제조업,전자장비와기기,65.66,,12.05
34,바이브컴퍼니,301300,소프트웨어 개발 및 공급업,소프트웨어,86.51,,9.92
35,원포유,122830,전기 통신업,,,,3.49
36,미코바이오메드,214610,의료용 기기 제조업,건강관리장비와용품,208.42,,145.3
37,피플바이오,304840,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,90.48
38,빅히트,352820,오디오물 출판 및 원판 녹음업,방송과엔터테인먼트,-19.04,88.80,37.79
39,넥스틴,348210,특수 목적용 기계 제조업,반도체와반도체장비,20.53,,311.45
40,원방테크,053080,일반 목적용 기계 제조업,기계,-29.49,13.77,1.56
41,비나텍,126340,일차전지 및 축전지 제조업,전기장비,-220.85,57.10,6.6
42,엔에이치스팩17호,359090,금융 지원 서비스업,창업투자,34.69,,
43,박셀바이오,323990,자연과학 및 공학 연구개발업,제약,99.58,,169.9
44,티와이홀딩스,363280,기타 금융업,건설,7.32,,
45,비비씨,318410,그외 기타 제품 제조업,가정용품,14.53,17.08,1.68
46,교보10호기업인수목적,355150,기타 금융업,창업투자,34.69,,
47,핌스,347770,전자부품 제조업,디스플레이장비및부품,86.49,15.83,2.45
48,압타머사이언스,291650,자연과학 및 공학 연구개발업,생물공학,-54.63,,27.15
49,이오플로우,294090,의료용 기기 제조업,건강관리장비와용품,208.42,,191.57
50,카카오게임즈,293490,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,281.22,4.5
51,피엔케이피부임상연구센타,347740,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,22.08,2.85
52,코람코에너지리츠,357120,부동산 임대 및 공급업,,35.79,,
53,미래에셋대우스팩 5호,353490,금융 지원 서비스업,창업투자,34.69,,
54,아이디피,332370,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,12.10,1.46
55,셀레믹스,331920,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,,28.38
56,데이드림엔터,348840,"영화, 비디오물, 방송프로그램 제작 및 배급업",,,13.58,220.03
57,미투젠,950190,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,7.82,3.21
58,브랜드엑스코퍼레이션,337930,기타 정보 서비스업,"섬유,의류,신발,호화품",33.35,22.70,3.18
59,영림원소프트랩,060850,소프트웨어 개발 및 공급업,소프트웨어,86.51,20.52,3.7
60,한국파마,032300,의약품 제조업,제약,99.58,88.08,13.26
61,제이알글로벌리츠,348950,부동산 임대 및 공급업,,35.79,,
62,솔브레인,357780,기타 화학제품 제조업,반도체와반도체장비,25.67,,
63,이루다,164060,의료용 기기 제조업,건강관리장비와용품,208.42,25.74,3.63
64,미래에셋맵스리츠,357250,부동산 임대 및 공급업,,35.79,,
65,이지스레지던스리츠,350520,부동산 임대 및 공급업,,35.79,,
66,와이팜,332570,전자부품 제조업,핸드셋,-202.0,35.40,4.75
67,이엔드디,101360,기타 화학제품 제조업,화학,69.0,43.49,6.74
68,에이치엠씨제4호스팩,353070,금융 지원 서비스업,창업투자,34.69,,
69,엠투아이,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,22.31,2.6
70,더네이쳐홀딩스,298540,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,16.26,2.42
71,제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업,건강관리장비와용품,208.42,,42.71
72,솔트룩스,304100,소프트웨어 개발 및 공급업,IT서비스,24.96,163.30,3.11
73,하나금융16호스팩,343510,금융 지원 서비스업,창업투자,34.69,,1.85
74,바이오인프라생명과학,266470,자연과학 및 공학 연구개발업,,,,
75,티에스아이,277880,특수 목적용 기계 제조업,기계,-29.49,,5.17
76,에이프로,262260,기타 전기장비 제조업,전자장비와기기,65.66,32.02,5.08
77,이지스밸류플러스리츠,334890,부동산 임대 및 공급업,,35.79,,
78,IBKS제13호스팩,351340,금융 지원 서비스업,창업투자,34.69,,
79,소마젠,950200,"그외 기타 전문, 과학 및 기술 서비스업",생명과학도구및서비스,38.27,,
80,신도기연,290520,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,8.97,2.29
81,위더스제약,330350,의약품 제조업,제약,99.58,19.31,2.32
82,에스케이바이오팜,326030,자연과학 및 공학 연구개발업,제약,99.58,,
83,엠브레인,169330,시장조사 및 여론조사업,IT서비스,24.96,15.96,3.47
84,젠큐릭스,229000,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,691.45
85,폭스소프트,354230,소프트웨어 개발 및 공급업,,,36.79,9.99
86,무진메디,322970,자연과학 및 공학 연구개발업,,,,14.54
87,IBKS제14호스팩,351320,기타 금융업,창업투자,34.69,,
88,엘이티,297890,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,13.22,2.93
89,에스씨엠생명과학,298060,의약품 제조업,제약,99.58,,22.77
90,엔에이치스팩16호,353190,금융 지원 서비스업,창업투자,34.69,,
91,이지바이오,353810,동물용 사료 및 조제식품 제조업,식품,33.41,,
92,드림씨아이에스,223250,자연과학 및 공학 연구개발업,제약,99.58,17.30,2.85
93,대덕전자,353200,전자부품 제조업,전자장비와기기,51.43,,
94,이베스트스팩5호,349720,금융 지원 서비스업,창업투자,34.69,,
95,오션스톤,329020,음·식료품 및 담배 도매업,,,10.42,4.76
96,이노진,344860,기타 화학제품 제조업,,,,0.93
97,단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업,,,,4.79
98,케이프이에스제4호,347140,기타 금융업,창업투자,34.69,,
99,엔피디,198080,전자부품 제조업,핸드셋,-202.0,16.42,0.95
100,플레이디,237820,광고업,광고,18.53,44.26,1.62
101,SK6호스팩,340350,금융 지원 서비스업,창업투자,20.78,,1.05
102,서울바이오시스,092190,반도체 제조업,디스플레이장비및부품,86.49,75.61,3.9
103,제이앤티씨,204270,전자부품 제조업,전자장비와기기,65.66,4.79,1.47
104,켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",우주항공과국방,50.8,,3.37
105,레몬,294140,화학섬유 제조업,화학,69.0,16.67,4.69
106,서남,294630,기타 전기장비 제조업,에너지장비및서비스,-35.73,,9.94
107,신영스팩6호,344050,금융 지원 서비스업,창업투자,34.69,,1.04
108,위세아이텍,065370,소프트웨어 개발 및 공급업,IT서비스,24.96,28.83,4.48
109,케이비제20호스팩,342550,금융 지원 서비스업,창업투자,20.78,342.50,1.08
110,하나금융15호스팩,341160,금융 지원 서비스업,창업투자,20.78,423.00,1.09
111,케이씨씨글라스,344820,유리 및 유리제품 제조업,건축자재,125.86,,
112,이앤에치,341310,기타 섬유제품 제조업,,,,8.34
113,한화플러스제1호스팩,340440,금융 지원 서비스업,창업투자,20.78,,1.09
114,엔에스엠,238170,합성고무 및 플라스틱 물질 제조업,,,12.67,0.83
115,천랩,311690,자연과학 및 공학 연구개발업,건강관리기술,-206.61,,5.01
116,피피아이,062970,통신 및 방송 장비 제조업,통신장비,-92.63,18.88,2.65
117,메탈라이프,327260,전자부품 제조업,통신장비,-92.63,81.00,4.72
118,아이비김영,339950,일반 교습 학원,교육서비스,-19.84,9.94,2.59
119,애드바이오텍,179530,의약품 제조업,,,128.18,7.34
120,하이제5호스팩,340120,금융 지원 서비스업,창업투자,20.78,298.57,1.13
121,브릿지바이오,288330,기초 의약물질 및 생물학적 제제 제조업,제약,99.58,129.82,4.43
122,대신밸런스제8호스팩,336570,금융 지원 서비스업,창업투자,20.78,,1.09
123,메드팩토,235980,자연과학 및 공학 연구개발업,제약,99.58,,21.25
124,유안타제6호스팩,340360,금융 지원 서비스업,창업투자,20.78,,1.03
125,신테카바이오,226330,소프트웨어 개발 및 공급업,건강관리업체및서비스,-57.53,,5.15
126,제이엘케이,322510,소프트웨어 개발 및 공급업,건강관리기술,-206.61,,3.73
127,태웅로직스,124560,기타 운송관련 서비스업,해운사,116.29,7.46,1.57
128,IBKS제12호스팩,335870,금융 지원 서비스업,창업투자,20.78,,1.14
129,노드메이슨,317860,기타 화학제품 제조업,,,,4.87
130,리메드,302550,의료용 기기 제조업,건강관리장비와용품,208.42,33.96,5.56
131,NH프라임리츠,338100,부동산 임대 및 공급업,,35.79,,
132,SK5호스팩,337450,금융 지원 서비스업,창업투자,20.78,,1.08
133,비올,335890,의료용 기기 제조업,건강관리장비와용품,208.42,36.83,1.15
134,이도바이오,336040,자연과학 및 공학 연구개발업,,,,13.86
135,진코스텍,250030,기타 화학제품 제조업,,,25.62,4.26
136,코리아센터,290510,소프트웨어 개발 및 공급업,인터넷과카탈로그소매,20.09,88.02,2.67
137,유안타제5호스팩,336060,금융 지원 서비스업,창업투자,20.78,,1.07
138,유엑스엔,337840,의료용 기기 제조업,,,,248.79
139,노터스,278650,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,45.90,4.14
140,센트랄모텍,308170,자동차 신품 부품 제조업,자동차부품,46.67,36.96,2.51
141,티움바이오,321550,자연과학 및 공학 연구개발업,제약,99.58,,4.54
142,씨에스베어링,297090,일반 목적용 기계 제조업,기계,-29.49,45.25,6.08
143,우양,103840,"과실, 채소 가공 및 저장 처리업",식품,29.07,19.89,2.17
144,코리아에셋투자증권,190650,기타 금융업,증권,6.53,5.18,0.69
145,현대에너지솔루션,322000,반도체 제조업,에너지장비및서비스,-35.73,12.37,1.22
146,에스제이그룹,306040,"가죽, 가방 및 유사제품 제조업","섬유,의류,신발,호화품",33.35,10.26,2.29
147,제테마,216080,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,10.15
148,한화시스템,272210,전자부품 제조업,우주항공과국방,50.8,25.92,2.04
149,라파스,214260,기타 화학제품 제조업,화장품,89.76,"1,468.77",4.55
150,아이티엠반도체,084850,전자부품 제조업,전자장비와기기,65.66,23.00,4.23
151,미래에셋대우스팩4호,333430,금융 지원 서비스업,창업투자,20.78,,1.57
152,자이에스앤디,317400,부동산 임대 및 공급업,건설,7.01,16.32,1.89
153,미디어젠,279600,소프트웨어 개발 및 공급업,소프트웨어,86.51,,3.33
154,하나금융14호스팩,332710,금융 지원 서비스업,창업투자,20.78,,1.12
155,신한제6호스팩,333050,금융 지원 서비스업,창업투자,20.78,,1.14
156,티라유텍,322180,소프트웨어 개발 및 공급업,IT서비스,24.96,28.12,3.48
157,롯데리츠,330590,부동산 임대 및 공급업,,35.79,,
158,지누스,013890,가구 제조업,가구,21.96,19.11,2.98
159,교보9호스팩,331520,금융 지원 서비스업,창업투자,20.78,,1.13
160,캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업",양방향미디어와서비스,136.4,,1.59
161,한국미라클피플사,331660,기타 화학제품 제조업,,,,5.01
162,케이엔제이,272110,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,14.64,3.55
163,엔바이오니아,317870,그외 기타 제품 제조업,가정용기기와용품,15.82,70.16,3.75
164,팜스빌,318010,기타 식품 제조업,제약,99.58,9.99,1.52
165,두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,177.42,24.62
166,라온피플,300120,소프트웨어 개발 및 공급업,전자장비와기기,65.66,25.66,4.48
167,솔루스첨단소재,336370,전자부품 제조업,전자장비와기기,65.66,145.66,12.85
168,제이콘텐트리,036420,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,515.58,1.79
169,아톤,158430,소프트웨어 개발 및 공급업,소프트웨어,86.51,,2.32
170,녹십자웰빙,234690,의약품 제조업,제약,99.58,33.50,2.8
171,대신밸런스제7호스팩,332290,금융 지원 서비스업,창업투자,20.78,,1.06
172,유진스팩5호,331380,금융 지원 서비스업,창업투자,20.78,229.44,1.1
173,엔지브이아이,093510,자동차 신품 부품 제조업,,,70.76,1.43
174,케이비제19호스팩,330990,금융 지원 서비스업,창업투자,20.78,208.50,1.09
175,올리패스,244460,기초 의약물질 및 생물학적 제제 제조업,화장품,89.76,,29.04
176,라닉스,317120,반도체 제조업,통신장비,-92.63,,6.94
177,윈텍,320000,특수 목적용 기계 제조업,전자장비와기기,65.66,24.30,2.74
178,한독크린텍,256150,일반 목적용 기계 제조업,가정용기기와용품,15.82,14.99,2.68
179,아퓨어스,149300,기초 의약물질 및 생물학적 제제 제조업,,,,60.34
180,상상인이안제2호스팩,329560,금융 지원 서비스업,창업투자,20.78,202.00,1.1
181,네오크레마,311390,기타 식품 제조업,식품과기본식료품소매,128.99,57.18,1.52
182,마니커에프앤지,195500,"도축, 육류 가공 및 저장 처리업",식품,29.07,29.42,2.21
183,미래에셋대우스팩3호,328380,금융 지원 서비스업,창업투자,20.78,208.50,1.07
184,나노브릭,286750,기초 화학물질 제조업,화학,69.0,,5.82
185,에스피시스템스,317830,특수 목적용 기계 제조업,기계,-29.49,42.86,1.89
186,레이,228670,의료용 기기 제조업,건강관리장비와용품,208.42,51.46,6.73
187,그린플러스,186230,1차 비철금속 제조업,비철금속,21.86,39.76,3.29
188,케어룸의료산업,327970,의료용 기기 제조업,,,17.73,4.4
189,코윈테크,282880,특수 목적용 기계 제조업,기계,-29.49,56.24,2.54
190,덕산테코피아,317330,기타 화학제품 제조업,디스플레이장비및부품,86.49,31.96,2.27
191,슈프리마아이디,317770,전자부품 제조업,전자장비와기기,65.66,184.90,1.36
192,한국바이오젠,318000,합성고무 및 플라스틱 물질 제조업,화학,69.0,22.21,2.5
193,세경하이테크,148150,전자부품 제조업,핸드셋,-202.0,10.61,1.8
194,윌링스,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",에너지장비및서비스,-35.73,58.95,2.21
195,대모,317850,특수 목적용 기계 제조업,기계,-29.49,69.03,0.94
196,에이스토리,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,,10.1
197,플리토,300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",양방향미디어와서비스,136.4,,2.41
198,이베스트이안스팩1호,323210,금융 지원 서비스업,창업투자,20.78,171.25,1.06
199,구스앤홈,329050,직물직조 및 직물제품 제조업,,,,
200,세틀뱅크,234340,기타 정보 서비스업,IT서비스,24.96,24.90,2.46
201,아이스크림에듀,289010,"서적, 잡지 및 기타 인쇄물 출판업",교육서비스,-19.84,22.22,1.28
202,펨토바이오메드,327610,자연과학 및 공학 연구개발업,,,,19.23
203,펌텍코리아,251970,플라스틱제품 제조업,포장재,16.84,10.31,1.17
204,에이에프더블류,312610,일차전지 및 축전지 제조업,전기제품,206.26,72.18,2.67
205,티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업",,,,0.99
206,신영스팩5호,323280,금융 지원 서비스업,창업투자,20.78,,1.08
207,케이비제18호스팩,323940,금융 지원 서비스업,창업투자,20.78,170.83,1.05
208,엠에프엠코리아,323230,편조의복 제조업,"섬유,의류,신발,호화품",22.82,29.12,1.02
209,압타바이오,293780,자연과학 및 공학 연구개발업,제약,99.58,,8.82
210,까스텔바작,308100,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,17.59,1.18
211,마이크로디지탈,305090,의료용 기기 제조업,건강관리장비와용품,208.42,,6.22
212,원바이오젠,278380,의료용품 및 기타 의약 관련제품 제조업,,,34.75,22.62
213,유진스팩4호,321260,금융 지원 서비스업,창업투자,20.78,234.44,1.08
214,코퍼스코리아,322780,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-72.03,22.33,1.05
215,포스코케미칼,003670,"내화, 비내화 요업제품 제조업",화학,69.0,330.34,9.57
216,수젠텍,253840,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,8.73
217,컴퍼니케이,307930,기타 금융업,창업투자,20.78,11.90,2.16
218,다원넥스뷰,323350,사진장비 및 광학기기 제조업,,,645.36,5.21
219,피에스케이,319660,특수 목적용 기계 제조업,반도체와반도체장비,20.53,18.68,2.5
220,엔에이치스팩14호,319400,금융 지원 서비스업,창업투자,20.78,345.62,2.83
221,SNK,950180,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,49.90,2.03
222,한화에스비아이스팩,317320,금융 지원 서비스업,창업투자,20.78,222.00,1.78
223,TS트릴리온,317240,기타 화학제품 제조업,가정용품,12.07,35.23,1.18
224,이노벡스,279060,전자부품 제조업,,,"1,229.89",40.43
225,아모그린텍,125210,전자부품 제조업,전자장비와기기,65.66,127.90,6.02
226,현대오토에버,307950,소프트웨어 개발 및 공급업,IT서비스,24.96,48.23,5.16
227,지노믹트리,228760,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,2.37
228,케이비17호스팩,317030,금융 지원 서비스업,창업투자,20.78,150.00,1.09
229,이지케어텍,099750,소프트웨어 개발 및 공급업,건강관리기술,-206.61,,2.78
230,유안타제4호스팩,313750,금융 지원 서비스업,창업투자,20.78,160.00,1.1
231,미래에셋벤처투자,100790,기타 금융업,창업투자,20.78,14.16,1.71
232,드림텍,192650,전자부품 제조업,핸드셋,-202.0,38.42,2.84
233,더블유게임즈,192080,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,10.48,1.5
234,에코프로비엠,247540,일차전지 및 축전지 제조업,전기제품,206.26,104.30,9.14
235,셀리드,299660,자연과학 및 공학 연구개발업,생물공학,-54.63,,6.56
236,우리금융지주,316140,기타 금융업,은행,4.87,5.14,0.3
237,천보,278280,기초 화학물질 제조업,디스플레이장비및부품,86.49,81.94,8.55
238,이노테라피,246960,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,,4.93
239,노랑풍선,104620,여행사 및 기타 여행보조 서비스업,"호텔,레스토랑,레저",-25.26,,1.92
240,웹케시,053580,소프트웨어 개발 및 공급업,소프트웨어,86.51,47.50,8.46
241,엘에이티,311060,특수 목적용 기계 제조업,,,,1.88
242,에어부산,298690,항공 여객 운송업,항공사,-4.87,,1.97
243,비피도,238200,기타 식품 제조업,제약,99.58,57.91,1.98
244,키움제5호스팩,311270,금융 지원 서비스업,창업투자,20.78,211.50,1.06
245,엔에이치스팩13호,310840,금융 지원 서비스업,창업투자,20.78,"1,080.00",1.13
246,유틸렉스,263050,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,,10.08
247,디케이티,290550,전자부품 제조업,핸드셋,-202.0,17.12,2.81
248,아이엘사이언스,307180,전구 및 조명장치 제조업,디스플레이장비및부품,86.49,,5.14
249,애니플러스,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,,11.89
250,테크엔,308700,전구 및 조명장치 제조업,,,,1.79
251,오하임아이엔티,309930,기타 생활용품 소매업,가구,25.24,14.39,1.49
252,위지윅스튜디오,299900,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,43.07,4.5
253,한국제8호스팩,310870,금융 지원 서비스업,창업투자,20.78,161.54,1.12
254,국전약품,307750,의약품 제조업,제약,222.91,74.56,3.98
255,에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,,8.15
256,프로테옴텍,303360,의료용품 및 기타 의약 관련제품 제조업,,,,19.33
257,머큐리,100590,통신 및 방송 장비 제조업,통신장비,-92.63,57.41,1.99
258,전진바이오팜,110020,기타 화학제품 제조업,화학,69.0,,19.6
259,뉴트리,270870,기타 식품 제조업,제약,99.58,14.40,3.63
260,상상인이안1호스팩,307870,금융 지원 서비스업,창업투자,20.78,102.00,1.08
261,이노메트리,302430,특수 목적용 기계 제조업,전기제품,206.26,452.17,3.96
262,SK4호스팩,307070,금융 지원 서비스업,창업투자,20.78,155.00,1.13
263,대유에이피,290120,자동차 신품 부품 제조업,자동차부품,46.67,6.99,1.66
264,교보8호스팩,307280,금융 지원 서비스업,건강관리장비와용품,263.3,29.89,1.48
265,에코캡,128540,자동차 신품 부품 제조업,자동차부품,46.67,47.59,0.71
266,베스파,299910,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,,2.17
267,윙입푸드,900340,기타 금융업,식품,29.07,7.17,0.53
268,하나머스트제6호스팩,307160,금융 지원 서비스업,창업투자,20.78,159.64,1.23
269,남화산업,111710,스포츠 서비스업,"호텔,레스토랑,레저",-25.26,58.86,1.53
270,엠아이텍,179290,의료용 기기 제조업,건강관리장비와용품,208.42,26.31,2.8
271,티로보틱스,117730,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,70.75,3.07
272,네오펙트,290660,의료용 기기 제조업,건강관리장비와용품,208.42,,3.28
273,에이펙스인텍,207490,전구 및 조명장치 제조업,,,74.07,6.8
274,티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,,5.68
275,나라소프트,288490,소프트웨어 개발 및 공급업,,,,
276,아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,64.29,1.74
277,디알젬,263690,의료용 기기 제조업,건강관리장비와용품,208.42,7.73,3.11
278,싸이토젠,217330,자연과학 및 공학 연구개발업,생물공학,-54.63,,18.27
279,아주IB투자,027360,기타 금융업,창업투자,20.78,15.32,2.42
280,파멥신,208340,의약품 제조업,생물공학,-54.63,,4.16
281,디케이앤디,263020,플라스틱제품 제조업,"섬유,의류,신발,호화품",33.35,20.72,1.71
282,디자인,227100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",핸드셋,-202.0,,2.13
283,노바렉스,194700,기타 식품 제조업,제약,99.58,15.34,2.85
284,셀리버리,268600,자연과학 및 공학 연구개발업,생물공학,-54.63,,85.41
285,대보마그네틱,290670,기타 전기장비 제조업,전기제품,206.26,"2,500.00",6.3
286,노바텍,285490,그외 기타 제품 제조업,핸드셋,-202.0,26.76,7.28
287,엘앤씨바이오,290650,의약품 제조업,건강관리장비와용품,208.42,97.86,13.32
288,네온테크,306620,특수 목적용 기계 제조업,반도체와반도체장비,20.53,162.78,6.36
289,로보티즈,108490,특수 목적용 기계 제조업,교육서비스,-19.84,78.36,3.05
290,옵티팜,153710,의료용품 및 기타 의약 관련제품 제조업,제약,99.58,,5.21
291,에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,103.80,5.66
292,세아제강,306200,1차 철강 제조업,철강,41.6,9.81,0.45
293,나우IB,293580,기타 금융업,창업투자,20.78,18.47,1.29
294,푸드나무,290720,무점포 소매업,식품,29.07,28.83,2.96
295,하나제약,293480,의약품 제조업,제약,99.58,15.17,1.64
296,크리스에프앤씨,110790,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,9.12,1.19
297,더블유에스아이,299170,생활용품 도매업,제약,99.58,20.70,9.05
298,지티지웰니스,219750,의료용 기기 제조업,건강관리장비와용품,208.42,,5.7
299,우진아이엔에스,010400,건물설비 설치 공사업,건설,7.01,29.02,0.57
300,명성티엔에스,257370,특수 목적용 기계 제조업,전기제품,206.26,116.33,1.53
301,삼성스팩2호,291230,금융 지원 서비스업,창업투자,20.78,145.33,1.16
302,엔솔바이오사이언스,140610,자연과학 및 공학 연구개발업,,,,102.62
303,디지캡,197140,소프트웨어 개발 및 공급업,소프트웨어,86.51,119.32,1.32
304,지니틱스,303030,반도체 제조업,반도체와반도체장비,20.53,60.60,3.37
305,액트로,290740,전자부품 제조업,핸드셋,-202.0,24.65,1.24
306,오파스넷,173130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,73.33,2.36
307,에이피티씨,089970,특수 목적용 기계 제조업,반도체와반도체장비,20.53,34.32,6.17
308,바이오솔루션,086820,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,,4.6
309,더콘텐츠온,302920,"영화, 비디오물, 방송프로그램 제작 및 배급업",,,33.33,2.85
310,대유,290380,"비료, 농약 및 살균, 살충제 제조업",화학,69.0,31.89,2.25
311,신한알파리츠,293940,부동산 임대 및 공급업,,35.79,,
312,디아이티,110990,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,487.37,1.02
313,에스에스알,275630,소프트웨어 개발 및 공급업,소프트웨어,86.51,268.70,1.56
314,한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,7.57,0.59
315,휴네시온,290270,소프트웨어 개발 및 공급업,소프트웨어,86.51,30.33,2.26
316,티웨이항공,091810,항공 여객 운송업,항공사,-4.87,,1.06
317,롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,17.01,1.49
318,한국유니온제약,080720,의약품 제조업,제약,99.58,216.83,1.54
319,그리티,204020,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,27.36,0.77
320,알로이스,297570,통신 및 방송 장비 제조업,전자제품,41.38,18.88,4.09
321,올릭스,226950,자연과학 및 공학 연구개발업,생물공학,-54.63,,15.9
322,테크트랜스,258050,기타 금속 가공제품 제조업,,,,5.24
