종목명,현재가,전일비,등락률,거래량,거래대금,전일거래량,시가총액,PER,PBR
비츠로테크,11400.0,550.0,-4.60%,4710337.0,57719.0,4696376.0,2768.0,13.12,1.5
NHN벅스,6240.0,90.0,-1.42%,4636349.0,33744.0,380670.0,925.0,-99.05,1.2
패션플랫폼,1445.0,35.0,-2.36%,4601061.0,7143.0,567772.0,385.0,9.15,0.89
KMH하이텍,1860.0,55.0,-2.87%,4551893.0,8497.0,7795880.0,872.0,30.0,1.23
맥스로텍,1225.0,35.0,-2.78%,4520020.0,5245.0,4193469.0,440.0,-1.75,1.95
W홀딩컴퍼니,320.0,8.0,-2.44%,4516162.0,1452.0,5483262.0,744.0,6.96,0.77
LG유플러스,12400.0,150.0,-1.20%,4491709.0,55624.0,3488938.0,54140.0,6.83,0.71
오성첨단소재,4410.0,105.0,-2.33%,4491052.0,19641.0,6227256.0,2992.0,12.78,1.5
마이더스AI,598.0,17.0,-2.76%,4443993.0,2657.0,10051510.0,718.0,-1.13,5.12
오리엔트바이오,1845.0,5.0,+0.27%,4342390.0,8158.0,2438784.0,2188.0,-24.93,3.8
엘컴텍,1640.0,5.0,-0.30%,4317016.0,7274.0,1244458.0,1385.0,-14.14,2.16
케이사인,1730.0,90.0,-4.95%,4304633.0,7451.0,22150843.0,1223.0,21.62,1.93
삼성 인버스 2X WTI원유 선물 ETN,825.0,50.0,+6.45%,4145763.0,3435.0,4656307.0,248.0,,
필룩스,4395.0,175.0,-3.83%,4135558.0,18187.0,4459261.0,4096.0,-8.01,1.53
이구산업,3090.0,80.0,-2.52%,3956280.0,12617.0,5202956.0,1033.0,-25.12,1.04
KODEX 2차전지산업,20450.0,160.0,+0.79%,3955672.0,79769.0,2999892.0,10695.0,,
TIGER 차이나전기차SOLACTIVE,13160.0,420.0,-3.09%,3955657.0,51875.0,3891698.0,5606.0,,
LG디스플레이,24800.0,750.0,+3.12%,3872268.0,94950.0,2994732.0,88738.0,-3.61,0.81
한화시스템,21050.0,950.0,-4.32%,3585526.0,77251.0,7361577.0,23203.0,29.82,2.34
대우건설,6040.0,50.0,-0.82%,3544707.0,21132.0,2161425.0,25104.0,13.05,0.94
코오롱,23350.0,450.0,-1.89%,3484396.0,94980.0,86513.0,2948.0,3.18,0.46
센트랄모텍,33400.0,7450.0,-18.24%,3470290.0,120923.0,10753883.0,2876.0,42.71,2.9
큐로,621.0,18.0,-2.82%,3447220.0,2150.0,11233650.0,1411.0,-56.45,1.29
한화손해보험,3945.0,145.0,+3.82%,3416700.0,13255.0,3277024.0,4605.0,-109.58,0.24
코오롱머티리얼,3615.0,150.0,+4.33%,3308041.0,12536.0,457972.0,2482.0,-11.12,3.8
삼성중공업,6560.0,50.0,+0.77%,3303967.0,21528.0,3256746.0,41328.0,-3.31,0.89
KT,26650.0,150.0,+0.57%,3263553.0,86386.0,2489610.0,69586.0,11.35,0.46
대원화성,1840.0,25.0,+1.38%,3260423.0,6153.0,263056.0,759.0,-131.43,0.95
명신산업,36750.0,3400.0,-8.47%,3228932.0,124547.0,16560548.0,14986.0,,
제주은행,7500.0,790.0,-9.53%,3226332.0,25631.0,13135667.0,2410.0,10.58,0.47
동양철관,1275.0,35.0,-2.67%,3060053.0,3900.0,2878969.0,1516.0,18.75,1.74
세화아이엠씨,611.0,13.0,-2.08%,3029283.0,1820.0,11203483.0,963.0,-3.8,1.2
까뮤이앤씨,3385.0,100.0,-2.87%,2997392.0,10244.0,16488366.0,1528.0,12.82,1.89
엘브이엠씨홀딩스,4370.0,170.0,+4.05%,2972601.0,12926.0,1231787.0,3686.0,-5.86,0.85
IHQ,1890.0,45.0,-2.33%,2816094.0,5242.0,3974729.0,2764.0,-4.0,2.1
후성,11100.0,450.0,-3.90%,2781582.0,30794.0,1320460.0,10279.0,-201.82,4.78
DB,938.0,1.0,-0.11%,2767552.0,2548.0,3182482.0,1887.0,20.84,0.68
두산인프라코어,8150.0,0.0,0.00%,2604004.0,21076.0,1843206.0,17619.0,10.52,0.7
