,회사명,종목코드,업종,업종2,업종PER,PER,PBR
222,원익큐브,014190,기타 전문 도매업,화학,69.0,9.15,0.91
223,계룡건설산업,013580,토목 건설업,건설,7.01,2.92,0.5
224,태경산업,015890,기초 화학물질 제조업,비철금속,21.86,7.5,0.61
225,리드코프,012700,기타 전문 도매업,기타금융,4.61,4.0,0.41
226,신대양제지,016590,"골판지, 종이 상자 및 종이용기 제조업",포장재,16.84,5.54,0.56
227,남해화학,025860,"비료, 농약 및 살균, 살충제 제조업",화학,69.0,14.06,0.93
228,동원금속,018500,자동차 신품 부품 제조업,자동차부품,46.67,3.27,0.84
229,성우하이텍,015750,자동차 신품 부품 제조업,자동차부품,46.67,16.07,0.58
230,서울도시가스,017390,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,3.46,0.34
231,한국선재,025550,1차 철강 제조업,철강,41.6,29.57,0.87
232,메디앙스,014100,기타 화학제품 제조업,가정용품,14.53,2.68,0.58
233,대륙제관,004780,기타 금속 가공제품 제조업,포장재,16.84,8.31,0.72
234,동원개발,013120,건물 건설업,건설,7.01,4.1,0.54
235,세원물산,024830,자동차 신품 부품 제조업,자동차부품,46.67,3.63,0.26
236,KPX케미칼,025000,기초 화학물질 제조업,화학,69.0,6.03,0.65
237,태평양물산,007980,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,8.92,0.56
238,한국아트라스비엑스,023890,일차전지 및 축전지 제조업,자동차부품,46.67,12.75,0.66
239,동일철강,023790,1차 철강 제조업,철강,41.6,10.27,0.58
240,문배철강,008420,1차 철강 제조업,철강,41.6,13.98,0.56
241,유진기업,023410,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,11.37,0.43
242,한라,014790,토목 건설업,건설,7.01,3.38,0.77
243,원일특강,012620,1차 철강 제조업,철강,41.6,4.8,0.35
244,모토닉,009680,자동차 신품 부품 제조업,자동차부품,46.67,44.19,0.73
245,화신,010690,자동차 신품 부품 제조업,자동차부품,46.67,29.29,0.64
246,대양제지,006580,"펄프, 종이 및 판지 제조업",포장재,16.84,4.83,0.47
247,푸드웰,005670,"과실, 채소 가공 및 저장 처리업",식품,29.07,27.89,0.85
248,엠에스씨,009780,기타 식품 제조업,식품,29.07,7.75,0.9
249,대동금속,020400,금속 주조업,자동차부품,46.67,35.59,0.69
250,대원산업,005710,자동차 신품 부품 제조업,자동차부품,46.67,20.93,0.39
251,한국가구,004590,생활용품 도매업,식품과기본식료품소매,128.99,14.33,0.9
252,DB,012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,18.76,0.61
253,원풍,008370,플라스틱제품 제조업,화학,69.0,13.05,0.68
254,한일화학,007770,기초 화학물질 제조업,화학,69.0,24.19,0.43
255,한국알콜,017890,기타 화학제품 제조업,화학,69.0,5.97,0.74
256,대한해운,005880,해상 운송업,해운사,116.29,47.79,0.92
257,메리츠증권,008560,금융 지원 서비스업,증권,6.53,4.75,0.61
258,휴니드테크놀러지스,005870,통신 및 방송 장비 제조업,우주항공과국방,50.8,11.91,0.78
259,세아베스틸,001430,1차 철강 제조업,철강,41.6,30.12,0.28
260,화승알앤에이,013520,자동차 신품 부품 제조업,자동차부품,46.67,8.89,0.78
261,고려산업,002140,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,12.31,0.99
262,피에스텍,002230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전기제품,206.26,38.66,0.67
263,대현,016090,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,7.57,0.48
264,현대차증권,001500,금융 지원 서비스업,증권,6.53,4.83,0.47
265,원림,005820,직물직조 및 직물제품 제조업,포장재,16.84,2.74,0.39
266,광동제약,009290,의약품 제조업,제약,99.58,8.96,0.79
267,KISCO홀딩스,001940,1차 철강 제조업,철강,41.6,5.31,0.26
268,태영건설,009410,토목 건설업,건설,7.01,1.59,0.8
269,삼양통상,002170,"가죽, 가방 및 유사제품 제조업","섬유,의류,신발,호화품",33.35,4.14,0.5
270,현대모비스,012330,자동차 신품 부품 제조업,자동차부품,46.67,20.22,0.94
271,KG케미칼,001390,기초 화학물질 제조업,화학,69.0,28.46,0.79
272,현대해상,001450,보험업,손해보험,6.87,5.06,0.33
