,회사명,종목코드,업종,업종2,업종PER,PER,PBR
101,동아엘텍,088130,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,9.8,0.52
102,휴온스글로벌,084110,의약품 제조업,제약,99.58,9.71,0.82
103,LF,093050,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,10.64,0.35
104,코스맥스비티아이,044820,기타 금융업,제약,99.58,35.55,0.51
105,인천도시가스,034590,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,10.39,0.55
106,광진윈텍,090150,자동차 신품 부품 제조업,자동차부품,46.67,23.27,0.95
107,삼정펄프,009770,"펄프, 종이 및 판지 제조업",가정용품,14.53,3.08,0.35
108,KPX홀딩스,092230,기초 화학물질 제조업,화학,69.0,4.7,0.37
109,HDC현대EP,089470,기타 화학제품 제조업,자동차부품,46.67,14.42,0.62
110,노루페인트,090350,기타 화학제품 제조업,건축자재,36.34,10.77,0.59
111,신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,3.62,0.78
112,진바이오텍,086060,동물용 사료 및 조제식품 제조업,제약,99.58,51.9,0.99
113,한일네트웍스,046110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",IT서비스,24.96,7.58,0.83
114,하나금융지주,086790,기타 금융업,은행,4.87,4.49,0.35
115,한국코퍼레이션,050540,기타 사업지원 서비스업,상업서비스와공급품,24.9,4.7,0.42
116,제일연마,001560,기타 비금속 광물제품 제조업,비철금속,21.86,17.24,0.63
117,모다이노칩,080420,"섬유, 의복, 신발 및 가죽제품 소매업",전자장비와기기,65.66,58.1,0.85
118,현대리바트,079430,가구 제조업,가구,21.96,14.27,0.73
119,대한제강,084010,1차 철강 제조업,철강,41.6,4.29,0.54
120,이상네트웍스,080010,상품 중개업,인터넷과카탈로그소매,20.09,8.17,0.66
121,대상홀딩스,084690,기타 금융업,식품,29.07,3.08,0.57
122,동양고속,084670,육상 여객 운송업,도로와철도운송,54.64,4.97,0.54
123,플랜티넷,075130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",소프트웨어,86.51,24.46,0.77
124,삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업,건설,7.01,6.98,0.57
125,동양이엔피,079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,5.72,0.63
126,한창산업,079170,1차 비철금속 제조업,비철금속,21.86,21.38,0.72
127,유니드,014830,기초 화학물질 제조업,화학,69.0,7.14,0.63
128,상신브레이크,041650,자동차 신품 부품 제조업,자동차부품,46.67,27.84,0.63
129,텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",소프트웨어,86.51,41.61,0.61
130,테라젠이텍스,066700,의약품 제조업,제약,99.58,7.98,0.73
131,디에이피,066900,전자부품 제조업,전자장비와기기,65.66,28.84,0.72
132,기업은행,024110,은행 및 저축기관,은행,4.87,4.33,0.28
133,에스텍,069510,영상 및 음향기기 제조업,전자장비와기기,65.66,11.92,0.61
134,휴비츠,065510,의료용 기기 제조업,건강관리장비와용품,208.42,11.88,1.0
135,농심홀딩스,072710,기타 금융업,식품,29.07,5.59,0.36
136,이라이콤,041520,상품 중개업,디스플레이장비및부품,86.49,11.94,0.8
137,탑엔지니어링,065130,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,4.43,0.72
138,DSR제강,069730,1차 철강 제조업,철강,41.6,12.38,0.46
139,S&T홀딩스,036530,기타 금융업,자동차부품,46.67,5.42,0.28
140,세종공업,033530,자동차 신품 부품 제조업,자동차부품,46.67,41.96,0.61
141,젬백스링크,064800,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,12.72,0.8
142,교보증권,030610,금융 지원 서비스업,증권,6.53,4.01,0.39
143,동양에스텍,060380,1차 철강 제조업,철강,41.6,36.21,0.98
144,한국컴퓨터,054040,전자부품 제조업,디스플레이장비및부품,86.49,6.65,0.52
145,팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,자동차부품,46.67,39.23,0.94
146,금강철강,053260,1차 철강 제조업,철강,41.6,16.04,0.51
147,평화정공,043370,자동차 신품 부품 제조업,자동차부품,46.67,45.28,0.43
